prefecture,prefecture_code,fiscal_year,fund_total_million_yen,fiscal_adjustment_fund_million_yen,debt_reduction_fund_million_yen,other_specific_funds_million_yen,cash_deposit_million_yen,trust_million_yen,securities_million_yen,local_bonds_million_yen,equity_contributions_million_yen,source_other_million_yen,other_assets_million_yen,standard_financial_scale_million_yen,revenue_total_million_yen,expenditure_total_million_yen,securities_ratio_pct,cash_deposit_ratio_pct,local_bond_ratio_pct,local_bond_share_of_securities_pct,fund_to_standard_scale_pct,securities_to_standard_scale_pct,securities_ratio_yoy_change_pt
北海道,10006,2022,136903.702,42848.498,55851.418,38203.786,128651.516,0.0,6490.0,2000.0,0.0,1762.186,1762.186,1358763.32,3094654.845,3058479.552,4.7405584401216565,93.97226964687924,1.4608808752300944,30.81664098613251,10.075610666322667,0.47764021183615696,
青森県,20001,2022,133467.892,15987.299,18747.448,98733.145,130178.38,0.0,3230.157,3230.157,0.0,59.355,59.355,381388.392,798600.986,770615.744,2.420175333255432,97.5353532968064,2.420175333255432,100.0,34.99526855028141,0.8469468572604067,
岩手県,30007,2022,111574.493,29702.292,29797.012,52075.189,30.0,0.0,9212.076,3740.0,0.0,102332.417,102332.417,391047.741,879040.072,824677.066,8.256435456085827,0.026887865849410584,3.3520206092265195,40.598883465572804,28.53219218571065,2.3557420320195632,
宮城県,40002,2022,198269.012,20769.884,19749.268,157749.86,193253.287,0.0,5015.725,5007.639,0.0,0.0,0.0,477964.354,1134875.591,1097820.691,2.5297573984985613,97.47024260150145,2.5256791010790938,99.83878701483833,41.48196624721516,1.0493931101816016,
秋田県,50008,2022,68471.2,14038.69,24193.653,30238.857,67569.155,0.0,650.0,0.0,0.0,252.045,252.045,326727.631,658765.038,639205.052,0.9493042330205984,98.68259209711529,0.0,0.0,20.956660381135624,0.19894246409787117,
山形県,60003,2022,69833.844,22926.347,18910.392,27997.105,68650.995,0.0,1157.921,0.0,0.0,24.928,24.928,330051.143,716149.217,701825.691,1.6581086385564,98.30619520242935,0.0,0.0,21.158491791679694,0.35083078018608777,
福島県,70009,2022,528471.516,32308.283,29929.775,466233.458,449874.335,0.0,78494.755,2399.483,0.0,102.426,102.426,495387.012,1344287.454,1306838.789,14.85316665581651,85.12745178871667,0.45404206799293234,3.056870487716026,106.67851663418256,15.845137861628073,
茨城県,80004,2022,227806.778,77636.521,47245.371,102924.886,227624.629,0.0,0.0,0.0,0.0,182.149,182.149,658567.038,1340774.026,1309533.583,0.0,99.92004232639646,0.0,,34.591281502916644,0.0,
栃木県,90000,2022,106635.364,24440.268,34676.363,47518.733,99157.425,0.0,7130.0,5440.0,0.0,347.939,347.939,451844.183,1010319.939,979908.39,6.686337189227394,92.98737424481432,5.101497098092149,76.29733520336606,23.60003027857946,1.5779776011855837,
群馬県,100005,2022,90593.288,64587.635,1.489,26004.164,87075.207,0.0,3447.664,2546.239,0.0,70.417,70.417,452996.546,992572.541,945817.362,3.805650590803151,96.11662069269413,2.810626544430091,73.85403566008752,19.99867080664231,0.7610795337057604,
埼玉県,110001,2022,261198.036,97959.702,33257.393,129980.941,93361.901,0.0,167836.135,165113.682,0.0,0.0,0.0,1269110.35,2285622.612,2237199.908,64.25627756251583,35.74372243748417,63.21398297190872,98.37791009665469,20.581191856169166,13.22470776477396,
千葉県,120006,2022,387627.269,95494.396,41585.046,250547.827,387527.269,0.0,100.0,0.0,0.0,0.0,0.0,1118595.845,2240426.182,2204550.383,0.025797978624666887,99.97420202137533,0.0,0.0,34.65302242384067,0.008939779317703437,
東京都,130001,2022,2361531.791,649764.469,0.0,1711767.322,2154797.482,0.0,101115.157,0.0,0.0,105619.152,105619.152,4028123.502,9755045.494,9188314.158,4.281761413729789,91.24575371850243,0.0,0.0,58.62610195113129,2.5102298117174264,
神奈川県,140007,2022,341147.406,66185.028,55705.55,219256.828,323995.919,0.0,16926.065,16926.065,0.0,225.422,225.422,1376993.363,2539155.772,2492642.65,4.961510684914895,94.97241172046314,4.961510684914895,100.0,24.774803943626562,1.2292045448297488,
新潟県,150002,2022,112436.693,48818.168,33195.362,30423.163,112336.978,0.0,21.402,0.0,78.313,0.0,78.313,548180.873,1193390.575,1166079.268,0.019034711381986306,99.91131453857328,0.0,0.0,20.510874884173493,0.0039041858361227428,
富山県,160008,2022,60666.53,3441.379,26702.331,30522.82,52239.114,0.0,8307.497,630.0,0.0,119.919,119.919,307388.299,643086.782,614212.503,13.693707222087697,86.10862365129505,1.0384638778581863,7.583511616074013,19.73612209617647,2.7026067768441635,
石川県,170003,2022,135186.519,13513.164,52434.615,69238.74,134519.218,0.0,10.029,0.0,0.0,657.272,657.272,312075.84,649453.271,623877.954,0.007418639132205187,99.50638495248182,0.0,0.0,43.31848277649433,0.0032136419147345717,
福井県,180009,2022,36560.919,9426.784,3316.203,23817.932,35660.919,0.0,900.0,0.0,0.0,0.0,0.0,262208.954,554078.342,535947.139,2.461644905588943,97.53835509441106,0.0,0.0,13.94342887314214,0.3432377065201213,
山梨県,190004,2022,92715.389,26229.398,16848.785,49637.206,83412.426,0.0,9302.963,800.0,0.0,0.0,0.0,268591.078,613385.091,583045.839,10.033893078958014,89.966106921042,0.8628556797620727,8.599410746877096,34.51916187625562,3.4636157944159267,
長野県,200000,2022,125079.606,40116.579,23843.544,61119.483,118939.866,0.0,6088.71,4098.11,0.0,51.03,51.03,516202.363,1180398.469,1156362.77,4.867867908058489,95.09133407407758,3.2764014303019144,67.30670371885013,24.230731001128717,1.1795199782919243,
岐阜県,210005,2022,102223.735,32991.05,35768.058,33464.627,70233.398,0.0,31990.337,22591.255,0.0,0.0,0.0,484482.95,981072.16,961418.272,31.29443176772987,68.70556823227012,22.09981370764823,70.61899660513112,21.09955262615537,6.602985099888448,
静岡県,220001,2022,141581.59,5729.013,83457.317,52395.26,115006.001,0.0,26575.589,15791.288,0.0,0.0,0.0,726566.363,1384631.998,1359231.789,18.770511759332553,81.22948824066746,11.153489659213461,59.42027474913162,19.486394803003012,3.6576960279676474,
愛知県,230006,2022,375740.291,182462.345,100001.198,93276.748,371291.216,0.0,4200.0,4200.0,0.0,249.075,249.075,1400259.697,2924785.931,2849306.635,1.1177933537077076,98.8159175082983,1.1177933537077076,100.0,26.833614636271292,0.2999443609637792,
三重県,240001,2022,95352.551,53255.61,16655.415,25441.526,93521.66,0.0,1830.891,1830.891,0.0,0.0,0.0,445218.907,867829.22,829846.648,1.920127968049853,98.07987203195015,1.920127968049853,100.0,21.417003972834426,0.41123388320074195,
滋賀県,250007,2022,88514.298,28751.907,17383.934,42378.457,85973.003,0.0,2377.909,0.0,0.0,163.386,163.386,346850.325,683731.18,678985.794,2.686468800780638,97.12894407183798,0.0,0.0,25.51945078903991,0.6855720835781255,
京都府,260002,2022,18999.383,21.06,0.0,18978.323,16999.671,0.0,1999.712,1200.0,0.0,0.0,0.0,534645.298,1172280.594,1155652.494,10.525141790130762,89.47485820986923,6.315994577297588,60.00864124433919,3.5536425871643975,0.37402592101352405,
大阪府,270008,2022,475332.101,333179.975,21327.234,120824.892,466944.822,0.0,6428.604,2619.164,0.0,1958.675,1958.675,1661424.631,3942613.114,3895343.951,1.3524447405246884,98.23549072693493,0.5510176978348029,40.74234468323139,28.609910562954692,0.386933230677498,
兵庫県,280003,2022,104886.668,6699.23,0.0,98187.438,96754.363,0.0,5866.0,0.0,0.0,2266.305,2266.305,1101386.098,2683182.088,2648172.795,5.592703164142844,92.24657894557198,0.0,0.0,9.523151616900108,0.5326016018044927,
奈良県,290009,2022,188313.884,24212.526,13716.286,150385.072,175723.329,0.0,12499.9,0.0,0.0,90.655,90.655,336500.795,603570.473,594644.618,6.637800535195801,93.3140590950798,0.0,0.0,55.962389033880285,3.714671758799262,
