fiscal_year,variable_name,source_document,source_table,source_column_name,source_unit,estat_url,download_url,notes
2022,fund_total_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和4年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171306,
2022,fiscal_adjustment_fund_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和4年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171306,
2022,debt_reduction_fund_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和4年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171306,
2022,other_specific_funds_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和4年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171306,
2022,cash_deposit_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,007:6列の管理状況・現金・預金,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171306,
2022,trust_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,008:6列の管理状況・信託,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171306,
2022,securities_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,009:6列の管理状況・有価証券,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171306,
2022,local_bonds_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,010:6列の管理状況・有価証券・うち地方債,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171306,
2022,equity_contributions_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,011:6列の管理状況・出資金,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171306,
2022,source_other_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,012:6列の管理状況・その他,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171306,
2022,other_assets_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,011:6列の管理状況・出資金 + 012:6列の管理状況・その他,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171306,other_assets_million_yen は出資金＋その他の明示的合算。残差ではない。
2022,standard_financial_scale_million_yen,総務省 地方財政状況調査（都道府県分）,01 団体の概況,004:標準財政規模（千円）,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171234,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171234,
2022,revenue_total_million_yen,総務省 地方財政状況調査（都道府県分）,02 決算収支の状況,001:歳入総額,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171235,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171235,
2022,expenditure_total_million_yen,総務省 地方財政状況調査（都道府県分）,02 決算収支の状況,002:歳出総額,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171235,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040171235,
2023,fund_total_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和5年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231750,
2023,fiscal_adjustment_fund_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和5年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231750,
2023,debt_reduction_fund_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和5年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231750,
2023,other_specific_funds_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和5年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231750,
2023,cash_deposit_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,007:6列の管理状況・現金・預金,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231750,
2023,trust_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,008:6列の管理状況・信託,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231750,
2023,securities_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,009:6列の管理状況・有価証券,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231750,
2023,local_bonds_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,010:6列の管理状況・有価証券・うち地方債,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231750,
2023,equity_contributions_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,011:6列の管理状況・出資金,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231750,
2023,source_other_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,012:6列の管理状況・その他,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231750,
2023,other_assets_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,011:6列の管理状況・出資金 + 012:6列の管理状況・その他,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231750,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231750,other_assets_million_yen は出資金＋その他の明示的合算。残差ではない。
2023,standard_financial_scale_million_yen,総務省 地方財政状況調査（都道府県分）,01 団体の概況,004:標準財政規模（千円）,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231578,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231578,
2023,revenue_total_million_yen,総務省 地方財政状況調査（都道府県分）,02 決算収支の状況,001:歳入総額,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231579,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231579,
2023,expenditure_total_million_yen,総務省 地方財政状況調査（都道府県分）,02 決算収支の状況,002:歳出総額,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040231579,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040231579,
2024,fund_total_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和6年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374310,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374310,
2024,fiscal_adjustment_fund_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和6年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374310,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374310,
2024,debt_reduction_fund_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和6年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374310,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374310,
2024,other_specific_funds_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,006:令和6年度末現在高,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374310,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374310,
2024,cash_deposit_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,007:6列の管理状況・現金・預金,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374310,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374310,
2024,trust_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,008:6列の管理状況・信託,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374310,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374310,
2024,securities_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,009:6列の管理状況・有価証券,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374310,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374310,
2024,local_bonds_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,010:6列の管理状況・有価証券・うち地方債,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374310,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374310,
2024,equity_contributions_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,011:6列の管理状況・出資金,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374310,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374310,
2024,source_other_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,012:6列の管理状況・その他,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374310,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374310,
2024,other_assets_million_yen,総務省 地方財政状況調査（都道府県分）,31 基金の状況 その1 積立基金現在高の状況,011:6列の管理状況・出資金 + 012:6列の管理状況・その他,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374310,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374310,other_assets_million_yen は出資金＋その他の明示的合算。残差ではない。
2024,standard_financial_scale_million_yen,総務省 地方財政状況調査（都道府県分）,01 団体の概況,004:標準財政規模（千円）,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374258,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374258,
2024,revenue_total_million_yen,総務省 地方財政状況調査（都道府県分）,02 決算収支の状況,001:歳入総額,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374259,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374259,
2024,expenditure_total_million_yen,総務省 地方財政状況調査（都道府県分）,02 決算収支の状況,002:歳出総額,千円（処理時に百万円へ換算）,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040374259,https://www.e-stat.go.jp/stat-search/file-download?fileKind=1&statInfId=000040374259,
