prefecture,reason
埼玉県,R6有価証券比率が全国上位。資産構成・年限管理の詳細確認価値が高い。
島根県,R6有価証券比率が全国上位。資産構成・年限管理の詳細確認価値が高い。
長崎県,R6有価証券比率が全国上位。資産構成・年限管理の詳細確認価値が高い。
大分県,R6有価証券比率が全国上位。資産構成・年限管理の詳細確認価値が高い。
山梨県,R4→R6の有価証券比率上昇幅が全国上位。金利正常化局面での運用方針変更を確認したい。
宮崎県,R4→R6の有価証券比率上昇幅が全国上位。金利正常化局面での運用方針変更を確認したい。
奈良県,R4→R6の有価証券比率上昇幅が全国上位。金利正常化局面での運用方針変更を確認したい。
滋賀県,標準財政規模が愛媛県に近く、同規模県の運用ベンチマークとして有用。
山口県,標準財政規模が愛媛県に近く、同規模県の運用ベンチマークとして有用。
青森県,標準財政規模が愛媛県に近く、同規模県の運用ベンチマークとして有用。
岩手県,標準財政規模が愛媛県に近く、同規模県の運用ベンチマークとして有用。
東京都,絶対額・財政規模が突出する対照群。公金運用の開示・ALMの先進事例確認に有用。
