prefecture,prefecture_code,R4_fund_total_million_yen,R4_cash_deposit_million_yen,R4_securities_million_yen,R4_securities_ratio_pct,R4_cash_deposit_ratio_pct,R4_local_bond_ratio_pct,R4_standard_financial_scale_million_yen,R4_securities_to_standard_scale_pct,R5_fund_total_million_yen,R5_cash_deposit_million_yen,R5_securities_million_yen,R5_securities_ratio_pct,R5_cash_deposit_ratio_pct,R5_local_bond_ratio_pct,R5_standard_financial_scale_million_yen,R5_securities_to_standard_scale_pct,R6_fund_total_million_yen,R6_cash_deposit_million_yen,R6_securities_million_yen,R6_securities_ratio_pct,R6_cash_deposit_ratio_pct,R6_local_bond_ratio_pct,R6_standard_financial_scale_million_yen,R6_securities_to_standard_scale_pct,R4_R6_securities_ratio_change_pt,R4_R6_securities_change_million_yen,R4_R6_securities_growth_pct,R4_R6_cash_deposit_decline_million_yen,typology
北海道,010006,136903.702,128651.516,6490.0,4.7405584401216565,93.97226964687924,1.4608808752300944,1358763.32,0.47764021183615696,152968.813,146478.813,6490.0,4.242694881864581,95.75730511813542,1.3074560498812264,1364505.815,0.4756300727087778,154493.159,148003.159,6490.0,4.200833255018107,95.79916674498189,0.0,1378127.405,0.4709288833857853,-0.5397251851035492,0.0,0.0,-19351.64300000001,D: 現預金中心・シフト小
青森県,020001,133467.892,130178.38,3230.157,2.420175333255432,97.5353532968064,2.420175333255432,381388.392,0.8469468572604067,149325.697,147123.71,2130.0,1.4264122269591684,98.52537972750933,1.4264122269591684,378359.033,0.5629573537894099,162177.973,158836.387,3245.0,2.0008882463958284,97.93955619361452,2.0008882463958284,382634.998,0.8480666998474613,-0.4192870868596037,14.842999999999847,0.4595132682405173,-28658.006999999983,D: 現預金中心・シフト小
岩手県,030007,111574.493,30.0,9212.076,8.256435456085827,0.026887865849410584,3.3520206092265195,391047.741,2.3557420320195632,118111.945,0.0,11612.076,9.831415442358518,0.0,3.4204838469131973,390645.538,2.9725351681861523,113670.327,0.0,15012.076,13.206679699267513,0.0,3.6421114544695556,394089.258,3.8093086008449384,4.950244243181686,5800.0,62.960835320941776,30.0,A: 有価証券比率が高く、さらに増加
宮城県,040002,198269.012,193253.287,5015.725,2.5297573984985613,97.47024260150145,2.5256791010790938,477964.354,1.0493931101816016,205385.163,193420.343,11964.82,5.825552257638007,94.17444774236199,0.45904581724824983,484916.321,2.467398906130033,180804.616,162639.322,18165.294,10.046919377323862,89.95308062267613,0.5392329142747108,495008.192,3.6696956320270355,7.517161978825301,13149.569000000001,262.16686520891795,30613.965000000026,A: 有価証券比率が高く、さらに増加
秋田県,050008,68471.2,67569.155,650.0,0.9493042330205984,98.68259209711529,0.0,326727.631,0.19894246409787117,78022.393,76716.027,1050.0,1.345767490110179,98.32565248287118,0.0,325377.398,0.32270219334657047,74436.862,67528.977,6650.0,8.933745756235668,90.71980627017835,0.8732232694064939,327620.847,2.029785363444836,7.98444152321507,6000.0,923.076923076923,40.177999999999884,A: 有価証券比率が高く、さらに増加
山形県,060003,69833.844,68650.995,1157.921,1.6581086385564,98.30619520242935,0.0,330051.143,0.35083078018608777,70720.529,68906.156,1789.445,2.530304885021434,97.43444650986703,0.0,330114.778,0.5420675229510629,58753.508,56522.6,2204.756,3.7525521029314537,96.20293651231854,0.0,335547.047,0.6570631509685138,2.094443464375054,1046.8349999999998,90.40642669059459,12128.394999999997,B: 低位から相対的にシフト
福島県,070009,528471.516,449874.335,78494.755,14.85316665581651,85.12745178871667,0.45404206799293234,495387.012,15.845137861628073,526501.975,447885.023,78494.755,14.908729449685351,85.06806133063414,0.45574055064085944,498570.05,15.743977200395411,506894.144,424285.198,82483.065,16.272246577778578,83.70291963759597,0.9665179718469977,509718.963,16.18206717571149,1.4190799219620676,3988.3099999999977,5.080989169276339,25589.137000000046,A: 有価証券比率が高く、さらに増加
茨城県,080004,227806.778,227624.629,0.0,0.0,99.92004232639646,0.0,658567.038,0.0,228075.264,227870.905,0.0,0.0,99.91039843759646,0.0,670201.892,0.0,232513.124,232320.129,0.0,0.0,99.91699608319743,0.0,685897.219,0.0,0.0,0.0,,-4695.5,B: 低位から相対的にシフト
栃木県,090000,106635.364,99157.425,7130.0,6.686337189227394,92.98737424481432,5.101497098092149,451844.183,1.5779776011855837,120357.793,111693.932,8340.0,6.929339423829414,92.80157870624961,5.309170134085127,457322.53,1.8236582396235756,114068.361,102238.231,11536.689,10.113837788902744,89.62891208720005,5.601903931976369,465236.085,2.479749394331697,3.4275005996753505,4406.689,61.80489481065919,-3080.805999999997,A: 有価証券比率が高く、さらに増加
群馬県,100005,90593.288,87075.207,3447.664,3.805650590803151,96.11662069269413,2.810626544430091,452996.546,0.7610795337057604,127109.625,124194.07,2845.916,2.238946106559594,97.70626732633347,2.0029293611715087,459270.457,0.6196601494008138,123062.568,120995.401,1996.961,1.622720078456351,98.32023089263015,1.3789416453588066,470478.105,0.4244535460369617,-2.1829305123468,-1450.7030000000002,-42.077853294288545,-33920.194,D: 現預金中心・シフト小
