決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:歳入総額,002:歳出総額,003:歳入歳出差引,004:翌年度に繰り越すべき財源,005:実質収支,006:単年度収支,007:積立金,008:繰上償還金,009:積立金取崩し額,010:実質単年度収支
2022,62,10006,北海道,北海道,,2,決算収支の状況,1,令和4年度,3094654845,3058479552,36175293,8606652,27568641,-5403471,24825151,0,22183775,-2762095
2022,62,20001,青森県,青森県,,2,決算収支の状況,1,令和4年度,798600986,770615744,27985242,20094632,7890610,-79232,2322,0,4197572,-4274482
2022,62,30007,岩手県,岩手県,,2,決算収支の状況,1,令和4年度,879040072,824677066,54363006,34589737,19773269,2157025,7808122,4553000,12757052,1761095
2022,62,40002,宮城県,宮城県,,2,決算収支の状況,1,令和4年度,1134875591,1097820691,37054900,23630724,13424176,-13507695,13449570,128897,12580442,-12509670
2022,62,50008,秋田県,秋田県,,2,決算収支の状況,1,令和4年度,658765038,639205052,19559986,4722566,14837420,-1777701,8182667,6632300,9134129,3903137
2022,62,60003,山形県,山形県,,2,決算収支の状況,1,令和4年度,716149217,701825691,14323526,6116337,8207189,1971461,3118382,0,582470,4507373
2022,62,70009,福島県,福島県,,2,決算収支の状況,1,令和4年度,1344287454,1306838789,37448665,28801484,8647181,516089,8460290,0,2602985,6373394
2022,62,80004,茨城県,茨城県,,2,決算収支の状況,1,令和4年度,1340774026,1309533583,31240443,11243750,19996693,-1026357,36643074,4000000,0,39616717
2022,62,90000,栃木県,栃木県,,2,決算収支の状況,1,令和4年度,1010319939,979908390,30411549,9387176,21024373,9590790,5617308,0,1563252,13644846
2022,62,100005,群馬県,群馬県,,2,決算収支の状況,1,令和4年度,992572541,945817362,46755179,15104497,31650682,8936467,17387569,0,3350297,22973739
2022,62,110001,埼玉県,埼玉県,,2,決算収支の状況,1,令和4年度,2285622612,2237199908,48422704,7413085,41009619,6172968,38704028,15000000,20097000,39779996
2022,62,120006,千葉県,千葉県,,2,決算収支の状況,1,令和4年度,2240426182,2204550383,35875799,20288858,15586941,-22602280,4201943,14022,0,-18386315
2022,62,130001,東京都,東京都,,2,決算収支の状況,1,令和4年度,9755045494,9188314158,566731336,280004720,286726616,19815057,204228788,0,281700000,-57656155
2022,62,140007,神奈川県,神奈川県,,2,決算収支の状況,1,令和4年度,2539155772,2492642650,46513122,19782642,26730480,18422194,4205106,0,54725549,-32098249
2022,62,150002,新潟県,新潟県,,2,決算収支の状況,1,令和4年度,1193390575,1166079268,27311307,8026485,19284822,5298640,12306692,0,15100000,2505332
2022,62,160008,富山県,富山県,,2,決算収支の状況,1,令和4年度,643086782,614212503,28874279,27708584,1165695,-22788,175440,1797351,0,1950003
2022,62,170003,石川県,石川県,,2,決算収支の状況,1,令和4年度,649453271,623877954,25575317,23709957,1865360,42897,130,3000000,0,3043027
2022,62,180009,福井県,福井県,,2,決算収支の状況,1,令和4年度,554078342,535947139,18131203,8972504,9158699,2170982,900161,0,0,3071143
2022,62,190004,山梨県,山梨県,,2,決算収支の状況,1,令和4年度,613385091,583045839,30339252,20214058,10125194,6778723,2746,0,0,6781469
