決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:令和4年度末現在高,002:令和5年度・歳出決算額,003:令和5年度・取崩し額,004:令和5年度・歳計剰余金処分によるもの,005:調整額,006:令和5年度末現在高,007:6列の管理状況・現金・預金,008:6列の管理状況・信託,009:6列の管理状況・有価証券,010:6列の管理状況・有価証券・うち地方債,011:6列の管理状況・出資金,012:6列の管理状況・その他
2023,62,10006,北海道,北海道,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,42848498,17722235,24223376,0,0,36347357,36347357,0,0,0,0,0
2023,62,20001,青森県,青森県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,15987299,1202294,3399238,3756731,-1,17547085,17547085,0,0,0,0,0
2023,62,30007,岩手県,岩手県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,29702292,9889373,8592855,0,580,30999390,0,0,1200000,0,0,29799390
2023,62,40002,宮城県,宮城県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,20769884,6699545,6498026,0,0,20971403,20971403,0,0,0,0,0
2023,62,50008,秋田県,秋田県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,14038690,7201356,4310688,0,0,16929358,16929358,0,0,0,0,0
2023,62,60003,山形県,山形県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,22926347,4104452,55126,0,0,26975673,26975673,0,0,0,0,0
2023,62,70009,福島県,福島県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,32308283,7761288,11918426,0,0,28151145,28151145,0,0,0,0,0
2023,62,80004,茨城県,茨城県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,77636521,18683267,28160070,0,0,68159718,68159718,0,0,0,0,0
2023,62,90000,栃木県,栃木県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,24440268,17404512,4230917,0,0,37613863,37613863,0,0,0,0,0
2023,62,100005,群馬県,群馬県,,31,基金の状況・その1　積立基金現在高の状況,1,積立基金・財政調整基金,64587635,27450798,0,0,0,92038433,92038433,0,0,0,0,0
