決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:基準財政収入額（千円）,002:基準財政需要額（千円）,003:標準税収入額等（千円）,004:標準財政規模（千円）,005:臨時財政対策債発行可能額（千円）,006:財政力指数（4～6年度）
2024,62,010006,北海道,北海道,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,573545235,1227636446,718229778,1378127405,5806416,46275
2024,62,020001,青森県,青森県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,129537638,351071306,160127609,382634998,969545,36141
2024,62,030007,岩手県,岩手県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,131394081,362095157,162355239,394089258,1048782,36343
2024,62,040002,宮城県,宮城県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,254801952,423229330,322204230,495008192,4623589,60728
2024,62,050008,秋田県,秋田県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,99859046,303242178,123416509,327620847,821206,32741
2024,62,060003,山形県,山形県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,115681975,307500145,142948224,335547047,901890,37417
2024,62,070009,福島県,福島県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,233173062,448889183,290645975,509718963,3356732,51927
2024,62,080004,茨城県,茨城県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,375903506,586355611,468312620,685897219,7135607,63608
2024,62,090000,栃木県,栃木県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,246034075,400814493,305539731,465236085,4915936,61911
2024,62,100005,群馬県,群馬県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,249321394,404470815,310522338,470478105,4587854,61000
2024,62,110001,埼玉県,埼玉県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,806453052,1108945074,1000738681,1324399670,23041536,74307
2024,62,120006,千葉県,千葉県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,725927332,980709604,899460021,1179533775,20756583,75137
2024,62,130001,東京都,東京都,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,2693731920,2144108020,4461185035,4461185035,0,121132
2024,62,140007,神奈川県,神奈川県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,997435202,1156685134,1266769766,1449789663,23769965,86325
2024,62,150002,新潟県,新潟県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,236595051,496940021,296846060,559489800,2306078,46842
2024,62,160008,富山県,富山県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,131183878,281370397,162911065,314589744,1492160,46593
2024,62,170003,石川県,石川県,,01,令和6年度・地方財政状況調査表（都道府県分）,01,数値,143228884,284038077,177868723,320385935,1708019,49769
