balance_basis,fund_balance_oku_yen,bond_total_oku_yen,immediate_cash_oku_yen,near_cash_oku_yen,within_1y_bond_oku_yen,over_1y_bond_oku_yen,within_1y_liquidity_oku_yen,historical_max_coverage_pct,P90_coverage_pct
R6_confirmed_actual,1302.27675,300.0,765.9125,236.36425,0.0,300.0,1002.27675,103.5399,119.1407
R6_confirmed_actual,1302.27675,400.0,765.9125,136.36425,65.73325,334.26675,968.01,100.0,115.0674
R6_confirmed_actual,1302.27675,435.32,765.9125,101.04425,101.05325,334.26675,968.01,100.0,115.0674
R6_confirmed_actual,1302.27675,480.0,765.9125,56.36425,145.73325,334.26675,968.01,100.0,115.0674
R6_confirmed_actual,1302.27675,500.0,765.9125,36.36425,165.73325,334.26675,968.01,100.0,115.0674
R6_confirmed_actual,1302.27675,600.0,702.27675,0.0,202.0975,397.9025,904.37425,93.4261,107.503
R8_year_end_budget_forecast,1254.0,300.0,765.9125,188.0875,14.01,285.99,968.01,100.0,115.0674
R8_year_end_budget_forecast,1254.0,400.0,765.9125,88.0875,114.01,285.99,968.01,100.0,115.0674
R8_year_end_budget_forecast,1254.0,435.32,765.9125,52.7675,149.33,285.99,968.01,100.0,115.0674
R8_year_end_budget_forecast,1254.0,480.0,765.9125,8.0875,194.01,285.99,968.01,100.0,115.0674
R8_year_end_budget_forecast,1254.0,500.0,754.0,0.0,202.0975,297.9025,956.0975,98.7694,113.6513
R8_year_end_budget_forecast,1254.0,600.0,654.0,0.0,202.0975,397.9025,856.0975,88.4389,101.7643
