prefecture,fiscal_year,securities_ratio_pct,cash_deposit_ratio_pct
愛媛県,2022,1.330479802,98.669520198
愛媛県,2023,1.192298175,98.807701825
愛媛県,2024,1.182785456,98.817214544
埼玉県,2022,64.256277563,35.743722437
埼玉県,2023,62.192662287,37.807337713
埼玉県,2024,62.889036099,37.110963901
東京都,2022,4.281761413,91.245753719
東京都,2023,4.014011210,91.907794056
東京都,2024,9.718176345,86.091426227
新潟県,2022,0.019034711,99.911314539
新潟県,2023,2.610469167,97.329851473
新潟県,2024,2.192895672,97.748730591
静岡県,2022,18.770511759,81.229488241
静岡県,2023,20.214366822,79.785633178
静岡県,2024,22.790023211,77.209976789
兵庫県,2022,5.592703164,92.246578946
兵庫県,2023,4.274146031,94.035377663
兵庫県,2024,4.321593187,93.817830915
香川県,2022,0.0,100.0
香川県,2023,0.0,100.0
香川県,2024,0.0,100.0
熊本県,2022,39.757115043,60.197980444
熊本県,2023,42.799690765,57.150802424
熊本県,2024,42.316850285,57.636159458
