rank,prefecture,prefecture_code,distance_score,standard_financial_scale_million_yen,fund_total_million_yen,fund_to_standard_scale_pct,expenditure_total_million_yen,securities_ratio_pct,cash_deposit_ratio_pct,comparison_level_R7_R8,disclosure_score,reason
1,徳島県,360007,0.3056168580614429,260520.066,98148.121,37.673919904503634,510835.261,0.7198446519419358,99.2320036366259,D,7,R6全国統一データ6変数をZ標準化し、愛媛県からのユークリッド距離で算出。R7/R8比較可能性・開示スコアは公表資料のみで評価。
2,香川県,370002,0.4386807623667091,274945.203,82111.452,29.86466070477324,471173.633,0.0,100.0,D,2,R6全国統一データ6変数をZ標準化し、愛媛県からのユークリッド距離で算出。R7/R8比較可能性・開示スコアは公表資料のみで評価。
3,青森県,020001,0.4663651217793063,382634.998,162177.973,42.38451104778449,691728.176,2.0008882463958284,97.93955619361452,D,4,R6全国統一データ6変数をZ標準化し、愛媛県からのユークリッド距離で算出。R7/R8比較可能性・開示スコアは公表資料のみで評価。
4,沖縄県,470007,0.48334780628813984,418842.692,168161.949,40.14919018809095,839088.656,5.588808916576009,94.411191083424,D,6,R6全国統一データ6変数をZ標準化し、愛媛県からのユークリッド距離で算出。R7/R8比較可能性・開示スコアは公表資料のみで評価。
5,和歌山県,300004,0.5600119755198905,310205.791,82457.827,26.581653016271385,644047.629,0.0,100.0,D,9,R6全国統一データ6変数をZ標準化し、愛媛県からのユークリッド距離で算出。R7/R8比較可能性・開示スコアは公表資料のみで評価。
6,群馬県,100005,0.5790501985406306,470478.105,123062.568,26.1569171215736,881483.396,1.622720078456351,98.32023089263015,D,7,R6全国統一データ6変数をZ標準化し、愛媛県からのユークリッド距離で算出。R7/R8比較可能性・開示スコアは公表資料のみで評価。
7,三重県,240001,0.5899046168905001,458694.146,118416.029,25.815901517958327,774973.766,2.046761760605906,97.9532382393941,D,8,R6全国統一データ6変数をZ標準化し、愛媛県からのユークリッド距離で算出。R7/R8比較可能性・開示スコアは公表資料のみで評価。
8,滋賀県,250007,0.5948570123201157,363762.355,94893.134,26.08657347184813,621956.154,3.314343058792852,96.50755764900755,D,7,R6全国統一データ6変数をZ標準化し、愛媛県からのユークリッド距離で算出。R7/R8比較可能性・開示スコアは公表資料のみで評価。
9,長野県,200000,0.6228827988187089,534358.773,146559.31,27.42713648681875,1027999.156,4.38042932925926,95.58315674384657,D,8,R6全国統一データ6変数をZ標準化し、愛媛県からのユークリッド距離で算出。R7/R8比較可能性・開示スコアは公表資料のみで評価。
10,広島県,340006,0.6560325460331653,599882.425,162544.074,27.095988684782686,1074265.129,0.0,99.36796896083705,D,4,R6全国統一データ6変数をZ標準化し、愛媛県からのユークリッド距離で算出。R7/R8比較可能性・開示スコアは公表資料のみで評価。
