prefecture,prefecture_code,fiscal_year,as_of_date,period_type,scope,data_status,source_framework,fund_balance_million_yen,average_fund_balance_million_yen,cash_deposit_million_yen,securities_million_yen,government_bonds_million_yen,local_bonds_million_yen,securities_ratio_pct,government_bond_ratio_pct,cash_deposit_ratio_pct,investment_income_million_yen,fund_investment_income_million_yen,investment_yield_pct,bond_yield_pct,deposit_yield_pct,average_maturity_years,duration_years,source_document,source_url,comparison_level,comparison_notes,notes
北海道,10006,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,136903.702,,128651.516,6490.0,,2000.0,4.7405584401216565,,93.97226964687924,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
青森県,20001,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,133467.892,,130178.38,3230.157,,3230.157,2.420175333255432,,97.5353532968064,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
岩手県,30007,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,111574.493,,30.0,9212.076,,3740.0,8.256435456085827,,0.0268878658494105,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
宮城県,40002,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,198269.012,,193253.287,5015.725,,5007.639,2.5297573984985613,,97.47024260150144,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
秋田県,50008,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,68471.2,,67569.155,650.0,,0.0,0.9493042330205984,,98.68259209711528,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
山形県,60003,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,69833.844,,68650.995,1157.921,,0.0,1.6581086385564,,98.30619520242936,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
福島県,70009,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,528471.516,,449874.335,78494.755,,2399.483,14.85316665581651,,85.12745178871667,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
茨城県,80004,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,227806.778,,227624.629,0.0,,0.0,0.0,,99.92004232639646,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
栃木県,90000,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,106635.364,,99157.425,7130.0,,5440.0,6.686337189227394,,92.98737424481432,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
群馬県,100005,2022,2023-03-31,year_end_actual,prefecture_funds,STANDARDIZED_OFFICIAL,national_standardized,90593.288,,87075.207,3447.664,,2546.239,3.805650590803151,,96.11662069269411,,,,,,,,総務省 地方財政状況調査（都道府県分）・基金の状況等,https://www.e-stat.go.jp/stat-search/files?stat_infid=000040171306,STANDARDIZED,全国統一統計による年度末残高。R7以降の個別公表資料とは定義・時点が異なる。,Stage1 standardized baseline; government_bonds not separately identifiable.
