prefecture,prefecture_code,score_fund_balance,score_securities_balance,score_government_bond_balance,score_bond_breakdown,score_yield,score_income,score_maturity,score_maturity_structure,score_investment_policy,score_risk_policy,disclosure_score,comparison_level,comparison_notes,R7_data_status,R7_period_type,R7_fund_balance_million_yen,R7_average_fund_balance_million_yen,R7_securities_million_yen,R7_government_bonds_million_yen,R7_investment_yield_pct,R7_fund_investment_income_million_yen,R7_average_maturity_years,R7_source_url,R8_data_status,R8_period_type,R8_fund_balance_million_yen,R8_average_fund_balance_million_yen,R8_securities_million_yen,R8_government_bonds_million_yen,R8_investment_yield_pct,R8_fund_investment_income_million_yen,R8_average_maturity_years,R8_source_url,summary_comment
北海道,10006,1,1,1,0,1,0,0,0,0,1,5,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,SEARCHED_NOT_FOUND,policy_only,,,,,,,,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R7=PARTIAL_OFFICIAL、R8=SEARCHED_NOT_FOUND。公開充実度5/20、比較可能性D。 主として方針・制度面の比較に限られる。
青森県,20001,1,1,1,0,1,0,0,0,0,0,4,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,year_end_actual,,,,,,,,https://www.pref.aomori.lg.jp/soshiki/suito/keiri/kessan_main.html,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.aomori.lg.jp/soshiki/suito/keiri/kessan_main.html,R7=PARTIAL_OFFICIAL、R8=SEARCHED_NOT_FOUND。公開充実度4/20、比較可能性D。 主として方針・制度面の比較に限られる。
岩手県,30007,1,1,0,0,2,0,0,0,0,0,4,D,利回りあり。公表資料ベースで判定。,PARTIAL_OFFICIAL,annual_plan,,,,,0.29,,,https://www3.pref.iwate.jp/gikai/user/www/Zenbun/page/350/1164174/1164244,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www3.pref.iwate.jp/gikai/user/www/Zenbun/page/350/1164174/1164244,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度4/20、比較可能性D。 主として方針・制度面の比較に限られる。
宮城県,40002,1,1,0,0,1,0,0,0,1,2,6,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.miyagi.jp/soshiki/kaishi/toshi-hyomei2.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.miyagi.jp/soshiki/kaishi/index.html,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度6/20、比較可能性D。 主として方針・制度面の比較に限られる。
秋田県,50008,1,1,1,0,1,0,0,0,2,2,8,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.akita.lg.jp/uploads/public/archive_0000094309_00/%E8%A1%8C%E8%B2%A1%E6%94%BF%E9%81%8B%E5%96%B6%E6%96%B9%E9%87%9D.pdf,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.akita.lg.jp/uploads/public/archive_0000094309_00/%E8%A1%8C%E8%B2%A1%E6%94%BF%E9%81%8B%E5%96%B6%E6%96%B9%E9%87%9D.pdf,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度8/20、比較可能性D。 主として方針・制度面の比較に限られる。
山形県,60003,1,0,0,0,1,0,0,0,1,2,5,D,比較可能な数量情報は限定的。公表資料ベースで判定。,PARTIAL_OFFICIAL,year_end_actual,,,,,,,,https://www.pref.yamagata.jp/020004/kensei/zaisei/kessan/zaiseijyoukyoukouhyou.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.yamagata.jp/020004/kensei/zaisei/kessan/zaiseijyoukyoukouhyou.html,R7=PARTIAL_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度5/20、比較可能性D。 主として方針・制度面の比較に限られる。
福島県,70009,2,2,0,0,2,2,1,0,2,0,11,B,基金残高/平均残高あり、債券・有価証券残高あり、利回りあり、運用収入あり。公表資料ベースで判定。,NUMERIC_OFFICIAL,annual_actual,,560678.049315,140635.068493,,0.29070105223332754,1629.896989,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,R7=NUMERIC_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度11/20、比較可能性B。 公表数値を用いた比較が一定程度可能。
茨城県,80004,2,1,0,0,2,2,0,0,2,2,11,D,基金残高/平均残高あり、利回りあり、運用収入あり。公表資料ベースで判定。,NUMERIC_OFFICIAL_PLAN,annual_plan,,261700,,,0.536,,,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,PARTIAL_OFFICIAL,annual_plan,,,,,,,,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,R7=NUMERIC_OFFICIAL_PLAN、R8=PARTIAL_OFFICIAL。公開充実度11/20、比較可能性D。 主として方針・制度面の比較に限られる。
栃木県,90000,0,0,0,0,0,0,0,0,1,2,3,D,比較可能な数量情報は限定的。公表資料ベースで判定。,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.tochigi.lg.jp/i02/koukinunyou.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.tochigi.lg.jp/i02/koukinunyou.html,R7=SEARCHED_NOT_FOUND、R8=PARTIAL_OFFICIAL。公開充実度3/20、比較可能性D。 主として方針・制度面の比較に限られる。
群馬県,100005,1,1,0,1,0,0,0,0,2,2,7,D,比較可能な数量情報は限定的。公表資料ベースで判定。,SEARCHED_NOT_FOUND,unknown,,,,,,,,https://www.pref.gunma.jp/page/17939.html,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.gunma.jp/page/17941.html,R7=SEARCHED_NOT_FOUND、R8=PARTIAL_OFFICIAL。公開充実度7/20、比較可能性D。 主として方針・制度面の比較に限られる。
埼玉県,110001,2,2,0,0,2,2,1,0,2,2,13,B,基金残高/平均残高あり、債券・有価証券残高あり、利回りあり、運用収入あり。公表資料ベースで判定。,NUMERIC_OFFICIAL,annual_actual,,1360100,884100,,0.609,8280.705,,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,PARTIAL_OFFICIAL,policy_only,,,,,,,,https://www.pref.saitama.lg.jp/a1201/koukinkanri.html,R7=NUMERIC_OFFICIAL、R8=PARTIAL_OFFICIAL。公開充実度13/20、比較可能性B。 公表数値を用いた比較が一定程度可能。
