prefecture,prefecture_code,fiscal_year,as_of_date,period_type,scope,data_status,fund_balance_million_yen,average_fund_balance_million_yen,cash_deposit_million_yen,time_deposit_million_yen,negotiable_deposit_million_yen,securities_million_yen,government_bonds_million_yen,local_bonds_million_yen,government_guaranteed_bonds_million_yen,fiscal_investment_agency_bonds_million_yen,other_bonds_million_yen,securities_ratio_pct,government_bond_ratio_pct,cash_deposit_ratio_pct,investment_income_million_yen,fund_investment_income_million_yen,investment_yield_pct,bond_yield_pct,deposit_yield_pct,average_maturity_years,duration_years,lump_sum_management,maturity_ladder,investment_committee,risk_policy_public,R7_policy_change,R8_policy_change,source_document,source_page,source_table,source_url,publication_date,source_type,calculation_basis,comparison_level,comparison_notes,notes
北海道,10006,2025,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,令和7年度 北海道決算審査意見書・基金運用状況審査意見書（案内ページ）,HTML,,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,2026-09-08,official_audit,,D,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。,決算審査等意見書の公開を確認。個別の定額運用基金審査と基金全体ポートフォリオは区別が必要。
北海道,10006,2026,,policy_only,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,北海道監査委員 決算審査等意見書,HTML,,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,,official_index,,D,R8年度途中の基金運用ポートフォリオ公表を確認できず。,「見つからない」を「存在しない」とは扱わない。
青森県,20001,2025,,year_end_actual,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,青森県の決算について（一般会計及び特別会計）,HTML,,https://www.pref.aomori.lg.jp/soshiki/suito/keiri/kessan_main.html,2026-09-10,official_settlement,,D,R7決算公表を確認したが、基金全体の運用商品の内訳・利回り等の比較可能な運用表は本調査では確認できず。,R7決算自体は公開済み。
青森県,20001,2026,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,青森県 会計管理課・決算ページ,HTML,,https://www.pref.aomori.lg.jp/soshiki/suito/keiri/kessan_main.html,,official_index,,E,公式サイトをR7/R8、公金運用、基金運用、債券、国債等の語で検索したが、当該年度の比較可能な数値資料を確認できず。,「見つからない」を「存在しない」とは扱わない。
岩手県,30007,2025,,annual_plan,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,0.29,,,,,1.0,,,,33基金の約8割を一括繰替運用。ほとんどが預金運用。債券はH30から毎年1億円程度を試行。,,岩手県議会会議録（資金運用による歳入確保）,HTML,,https://www3.pref.iwate.jp/gikai/user/www/Zenbun/page/350/1164174/1164244,,official_assembly_forecast,,C,R7見込み利回り0.29%は確認できるが、基金全体の平均残高・債券残高の確定実績は未確認。,"基金残高は答弁中「1,300億円を超える」。確定値ではないため数値列には入れていない。"
岩手県,30007,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,債券運用拡大、人材育成、外部助言等の強化を先進事例も参考に研究。,岩手県議会会議録（資金運用による歳入確保）,HTML,,https://www3.pref.iwate.jp/gikai/user/www/Zenbun/page/350/1164174/1164244,,official_assembly,,D,方針変更は確認できるがR8数値は未確認。,「見つからない」を「存在しない」とは扱わない。
宮城県,40002,2025,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,基金運用における投資表明について,HTML,,https://www.pref.miyagi.jp/soshiki/kaishi/toshi-hyomei2.html,2026-02-26,official_policy,,D,長期運用可能資金の一部で債券購入を行い、基金で債券を保有していることは公式確認。基金全体の債券残高・利回り等は未確認。,投資表明等の運用方針情報はある。
宮城県,40002,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,宮城県 出納管理課,HTML,,https://www.pref.miyagi.jp/soshiki/kaishi/index.html,,official_policy,,D,長期運用可能基金で債券投資を行う方針は確認できるがR8数値なし。,「見つからない」を「存在しない」とは扱わない。
秋田県,50008,2025,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,令和元年度から債券による基金運用を開始し、順次運用額を拡大。,,行財政運営方針,,,https://www.pref.akita.lg.jp/uploads/public/archive_0000094309_00/%E8%A1%8C%E8%B2%A1%E6%94%BF%E9%81%8B%E5%96%B6%E6%96%B9%E9%87%9D.pdf,2026-03,official_policy,,D,債券運用拡大の方針は確認できるが、R7基金全体の債券残高・利回り等は未確認。,「見つからない」を「存在しない」とは扱わない。
秋田県,50008,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,債券による基金運用を継続・拡大する方向。,行財政運営方針,,,https://www.pref.akita.lg.jp/uploads/public/archive_0000094309_00/%E8%A1%8C%E8%B2%A1%E6%94%BF%E9%81%8B%E5%96%B6%E6%96%B9%E9%87%9D.pdf,2026-03,official_policy,,D,公式サイトをR7/R8、公金運用、基金運用、債券、国債等の語で検索したが、当該年度の比較可能な数値資料を確認できず。,「見つからない」を「存在しない」とは扱わない。
