prefecture,fiscal_year,variable_name,variable_label_ja,public_status,search_status,comparison_impact,source_url,notes
北海道,2025,fund_balance,基金残高/平均基金残高,PARTIAL,PARTIAL_OFFICIAL,HIGH,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。
北海道,2025,securities_balance,有価証券・債券残高,PARTIAL,PARTIAL_OFFICIAL,HIGH,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。
北海道,2025,government_bond_balance,国債残高,PARTIAL,PARTIAL_OFFICIAL,HIGH,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。
北海道,2025,bond_breakdown,債券内訳,PARTIAL,PARTIAL_OFFICIAL,MEDIUM,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。
北海道,2025,yield,運用利回り,PARTIAL,PARTIAL_OFFICIAL,HIGH,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。
北海道,2025,income,運用収入,NOT_COMPARABLE,PARTIAL_OFFICIAL,HIGH,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。
北海道,2025,maturity,年限・平均残存年数,NOT_COMPARABLE,PARTIAL_OFFICIAL,HIGH,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。
北海道,2025,maturity_structure,満期構成・ラダー,NOT_COMPARABLE,PARTIAL_OFFICIAL,MEDIUM,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。
北海道,2025,investment_policy,運用方針,NOT_COMPARABLE,PARTIAL_OFFICIAL,MEDIUM,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。
北海道,2025,risk_policy,リスク管理方針,AVAILABLE,PARTIAL_OFFICIAL,MEDIUM,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。
北海道,2026,fund_balance,基金残高/平均基金残高,SEARCHED_NOT_FOUND,SEARCHED_NOT_FOUND,HIGH,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R8年度途中の基金運用ポートフォリオ公表を確認できず。
北海道,2026,securities_balance,有価証券・債券残高,SEARCHED_NOT_FOUND,SEARCHED_NOT_FOUND,HIGH,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R8年度途中の基金運用ポートフォリオ公表を確認できず。
北海道,2026,government_bond_balance,国債残高,SEARCHED_NOT_FOUND,SEARCHED_NOT_FOUND,HIGH,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R8年度途中の基金運用ポートフォリオ公表を確認できず。
北海道,2026,bond_breakdown,債券内訳,SEARCHED_NOT_FOUND,SEARCHED_NOT_FOUND,MEDIUM,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,R8年度途中の基金運用ポートフォリオ公表を確認できず。
