prefecture,prefecture_code,fiscal_year,search_performed,data_status,period_type,source_document,source_url,comparison_level,comparison_notes,search_query_pattern,search_result
北海道,10006,2025,YES,PARTIAL_OFFICIAL,policy_only,令和7年度 北海道決算審査意見書・基金運用状況審査意見書（案内ページ）,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,D,R7決算審査資料は公表済みだが、本調査で必要な基金全体の債券残高・国債残高・利回りを統一的に確認できず。,北海道 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
北海道,10006,2026,YES,SEARCHED_NOT_FOUND,policy_only,北海道監査委員 決算審査等意見書,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,D,R8年度途中の基金運用ポートフォリオ公表を確認できず。,北海道 令和8年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
青森県,20001,2025,YES,PARTIAL_OFFICIAL,year_end_actual,青森県の決算について（一般会計及び特別会計）,https://www.pref.aomori.lg.jp/soshiki/suito/keiri/kessan_main.html,D,R7決算公表を確認したが、基金全体の運用商品の内訳・利回り等の比較可能な運用表は本調査では確認できず。,青森県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
青森県,20001,2026,YES,SEARCHED_NOT_FOUND,unknown,青森県 会計管理課・決算ページ,https://www.pref.aomori.lg.jp/soshiki/suito/keiri/kessan_main.html,D,公式サイトをR7/R8、公金運用、基金運用、債券、国債等の語で検索したが、当該年度の比較可能な数値資料を確認できず。,青森県 令和8年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
岩手県,30007,2025,YES,PARTIAL_OFFICIAL,annual_plan,岩手県議会会議録（資金運用による歳入確保）,https://www3.pref.iwate.jp/gikai/user/www/Zenbun/page/350/1164174/1164244,D,R7見込み利回り0.29%は確認できるが、基金全体の平均残高・債券残高の確定実績は未確認。,岩手県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
岩手県,30007,2026,YES,PARTIAL_OFFICIAL,policy_only,岩手県議会会議録（資金運用による歳入確保）,https://www3.pref.iwate.jp/gikai/user/www/Zenbun/page/350/1164174/1164244,D,方針変更は確認できるがR8数値は未確認。,岩手県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
宮城県,40002,2025,YES,PARTIAL_OFFICIAL,policy_only,基金運用における投資表明について,https://www.pref.miyagi.jp/soshiki/kaishi/toshi-hyomei2.html,D,長期運用可能資金の一部で債券購入を行い、基金で債券を保有していることは公式確認。基金全体の債券残高・利回り等は未確認。,宮城県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
宮城県,40002,2026,YES,PARTIAL_OFFICIAL,policy_only,宮城県 出納管理課,https://www.pref.miyagi.jp/soshiki/kaishi/index.html,D,長期運用可能基金で債券投資を行う方針は確認できるがR8数値なし。,宮城県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
秋田県,50008,2025,YES,PARTIAL_OFFICIAL,policy_only,行財政運営方針,https://www.pref.akita.lg.jp/uploads/public/archive_0000094309_00/%E8%A1%8C%E8%B2%A1%E6%94%BF%E9%81%8B%E5%96%B6%E6%96%B9%E9%87%9D.pdf,D,債券運用拡大の方針は確認できるが、R7基金全体の債券残高・利回り等は未確認。,秋田県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
秋田県,50008,2026,YES,PARTIAL_OFFICIAL,policy_only,行財政運営方針,https://www.pref.akita.lg.jp/uploads/public/archive_0000094309_00/%E8%A1%8C%E8%B2%A1%E6%94%BF%E9%81%8B%E5%96%B6%E6%96%B9%E9%87%9D.pdf,D,公式サイトをR7/R8、公金運用、基金運用、債券、国債等の語で検索したが、当該年度の比較可能な数値資料を確認できず。,秋田県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
山形県,60003,2025,YES,PARTIAL_OFFICIAL,year_end_actual,財政状況の公表のページ（令和8年6月公表）,https://www.pref.yamagata.jp/020004/kensei/zaisei/kessan/zaiseijyoukyoukouhyou.html,D,基金状況の公表は確認できるが、基金全体の運用商品別残高・利回りを比較できる専用実績表は本調査では確認できず。,山形県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
山形県,60003,2026,YES,PARTIAL_OFFICIAL,policy_only,山形県 公金・基金管理関係公表資料,https://www.pref.yamagata.jp/020004/kensei/zaisei/kessan/zaiseijyoukyoukouhyou.html,D,年間基金計画・長期見通し・運用商品選定等の管理枠組みは確認、R8数値は未確認。,山形県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
福島県,70009,2025,YES,NUMERIC_OFFICIAL,annual_actual,福島県 公金の管理・運用状況,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,B,基金の預金・債券平均残高、各利回り、運用収入まで比較可能。年限情報は当該実績表では未確認。,福島県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
福島県,70009,2026,YES,PARTIAL_OFFICIAL,policy_only,福島県 公金の管理・運用状況,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,B,R7年間実績は詳細だが、R8年度途中の数値実績は本調査では確認できず。,福島県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
茨城県,80004,2025,YES,NUMERIC_OFFICIAL_PLAN,annual_plan,令和8年度資金管理方針,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,D,R7欄は見込み値。平均残高・利回り・収入はあるが債券残高の実績値は未確認。,茨城県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
茨城県,80004,2026,YES,PARTIAL_OFFICIAL,annual_plan,令和8年度資金管理方針,https://www.pref.ibaraki.jp/somu/zaisei/kanri/documents/r8shikinkanrihoushin.pdf,D,R8方針は明確だが本調査で年度途中実績数値は未確認。,茨城県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
栃木県,90000,2025,YES,SEARCHED_NOT_FOUND,unknown,栃木県 公金運用,https://www.pref.tochigi.lg.jp/i02/koukinunyou.html,D,公式「公金運用」ページは調査時点でR6実績まで。R7実績の掲載を確認できず。,栃木県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
栃木県,90000,2026,YES,PARTIAL_OFFICIAL,policy_only,栃木県公金管理・運用方針,https://www.pref.tochigi.lg.jp/i02/koukinunyou.html,D,2025年7月改訂の運用方針は確認、R8数値は未確認。,栃木県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
群馬県,100005,2025,YES,SEARCHED_NOT_FOUND,unknown,群馬県 公金運用の実績,https://www.pref.gunma.jp/page/17939.html,D,"調査時点の掲載はR6実績（基金：預金146,861百万円、債券106,893百万円等）まで。R7実績は未掲載。",群馬県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
群馬県,100005,2026,YES,PARTIAL_OFFICIAL,policy_only,公金の管理・運用 Q&A,https://www.pref.gunma.jp/page/17941.html,D,現行商品範囲・運用プロセスは詳細に公表。R8数値は未確認。,群馬県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
埼玉県,110001,2025,YES,NUMERIC_OFFICIAL,annual_actual,令和7年度第4四半期・公金の運用状況について,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,B,基金平均残高、預金・債券構成、運用収入、利回りを直接比較可能。年限内訳は当該表では未確認。,埼玉県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
埼玉県,110001,2026,YES,PARTIAL_OFFICIAL,policy_only,埼玉県 公金運用状況,https://www.pref.saitama.lg.jp/a1201/koukinkanri.html,B,R7詳細実績あり。R8年度途中の基金全体数値は本調査では未確認。,埼玉県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
