prefecture,fiscal_year,variable_name,source_document,source_page,source_table,source_url,publication_date,source_quote_or_summary,source_unit,notes
北海道,2025,risk_policy_public,令和7年度 北海道決算審査意見書・基金運用状況審査意見書（案内ページ）,HTML,,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,2026-09-08,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_audit; 決算審査等意見書の公開を確認。個別の定額運用基金審査と基金全体ポートフォリオは区別が必要。
北海道,2026,risk_policy_public,北海道監査委員 決算審査等意見書,HTML,,https://www.pref.hokkaido.lg.jp/kj/skk/71795.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_index; 「見つからない」を「存在しない」とは扱わない。
岩手県,2025,investment_yield_pct,岩手県議会会議録（資金運用による歳入確保）,HTML,,https://www3.pref.iwate.jp/gikai/user/www/Zenbun/page/350/1164174/1164244,,0.29,％,"period_type=annual_plan; scope=prefecture_funds; source_type=official_assembly_forecast; 基金残高は答弁中「1,300億円を超える」。確定値ではないため数値列には入れていない。"
岩手県,2025,lump_sum_management,岩手県議会会議録（資金運用による歳入確保）,HTML,,https://www3.pref.iwate.jp/gikai/user/www/Zenbun/page/350/1164174/1164244,,1,0/1,"period_type=annual_plan; scope=prefecture_funds; source_type=official_assembly_forecast; 基金残高は答弁中「1,300億円を超える」。確定値ではないため数値列には入れていない。"
岩手県,2025,R7_policy_change,岩手県議会会議録（資金運用による歳入確保）,HTML,,https://www3.pref.iwate.jp/gikai/user/www/Zenbun/page/350/1164174/1164244,,33基金の約8割を一括繰替運用。ほとんどが預金運用。債券はH30から毎年1億円程度を試行。,記述,"period_type=annual_plan; scope=prefecture_funds; source_type=official_assembly_forecast; 基金残高は答弁中「1,300億円を超える」。確定値ではないため数値列には入れていない。"
岩手県,2026,lump_sum_management,岩手県議会会議録（資金運用による歳入確保）,HTML,,https://www3.pref.iwate.jp/gikai/user/www/Zenbun/page/350/1164174/1164244,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_assembly; 「見つからない」を「存在しない」とは扱わない。
岩手県,2026,R8_policy_change,岩手県議会会議録（資金運用による歳入確保）,HTML,,https://www3.pref.iwate.jp/gikai/user/www/Zenbun/page/350/1164174/1164244,,債券運用拡大、人材育成、外部助言等の強化を先進事例も参考に研究。,記述,period_type=policy_only; scope=prefecture_funds; source_type=official_assembly; 「見つからない」を「存在しない」とは扱わない。
宮城県,2025,risk_policy_public,基金運用における投資表明について,HTML,,https://www.pref.miyagi.jp/soshiki/kaishi/toshi-hyomei2.html,2026-02-26,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 投資表明等の運用方針情報はある。
宮城県,2026,risk_policy_public,宮城県 出納管理課,HTML,,https://www.pref.miyagi.jp/soshiki/kaishi/index.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
秋田県,2025,risk_policy_public,行財政運営方針,,,https://www.pref.akita.lg.jp/uploads/public/archive_0000094309_00/%E8%A1%8C%E8%B2%A1%E6%94%BF%E9%81%8B%E5%96%B6%E6%96%B9%E9%87%9D.pdf,2026-03,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
秋田県,2025,R7_policy_change,行財政運営方針,,,https://www.pref.akita.lg.jp/uploads/public/archive_0000094309_00/%E8%A1%8C%E8%B2%A1%E6%94%BF%E9%81%8B%E5%96%B6%E6%96%B9%E9%87%9D.pdf,2026-03,令和元年度から債券による基金運用を開始し、順次運用額を拡大。,記述,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
秋田県,2026,risk_policy_public,行財政運営方針,,,https://www.pref.akita.lg.jp/uploads/public/archive_0000094309_00/%E8%A1%8C%E8%B2%A1%E6%94%BF%E9%81%8B%E5%96%B6%E6%96%B9%E9%87%9D.pdf,2026-03,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
秋田県,2026,R8_policy_change,行財政運営方針,,,https://www.pref.akita.lg.jp/uploads/public/archive_0000094309_00/%E8%A1%8C%E8%B2%A1%E6%94%BF%E9%81%8B%E5%96%B6%E6%96%B9%E9%87%9D.pdf,2026-03,債券による基金運用を継続・拡大する方向。,記述,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
山形県,2026,investment_committee,山形県 公金・基金管理関係公表資料,HTML,,https://www.pref.yamagata.jp/020004/kensei/zaisei/kessan/zaiseijyoukyoukouhyou.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
山形県,2026,risk_policy_public,山形県 公金・基金管理関係公表資料,HTML,,https://www.pref.yamagata.jp/020004/kensei/zaisei/kessan/zaiseijyoukyoukouhyou.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
