prefecture,target_funds,period_type,data_status,fund_public_money_balance_m_yen,average_balance_m_yen,cash_deposit_m_yen,cash_deposit_ratio_pct,bond_m_yen,bond_ratio_pct,government_bonds_m_yen,local_bonds_m_yen,government_related_bonds_m_yen,other_bonds_m_yen,investment_income_m_yen,overall_yield_pct,deposit_yield_pct,bond_yield_pct,average_maturity_years,max_maturity_years,maturity_ladder,lump_sum_management,risk_management,recent_bond_expansion,source_url,comparability,comparison_note,typology
北海道,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
青森県,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
岩手県,,,,,,,,,,,,,,,,,,,,,33基金の約8割を一括繰替運用（公表答弁）,,債券運用拡大、人材育成、外部助言の強化を研究。,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,一括運用 / 債券運用拡大
宮城県,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
秋田県,,,,,,,,,,,,,,,,,,,,,,,令和元年度から債券運用を開始し順次運用額を拡大。,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,債券運用拡大
山形県,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
福島県,prefecture_funds,annual_average_actual,annual_actual,,560678.049315,420042.980822,74.916966,140635.068493,25.083034,,,,,1629.896989,0.290701,0.259,0.386,,,,基金現金は一括運用,預金と債券を区分し、安全性・流動性を踏まえ運用。,,https://www.pref.fukushima.lg.jp/sec/55015a/koukin.html,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。,中程度債券 / 一括運用
茨城県,,,,,,,,,,,,,,,,,,,,,あり,資金管理方針を策定し、安全性・流動性を確保。,金利上昇を踏まえ債券運用割合を高める方針。,,C,定量値はあるが、見込・年度途中・対象範囲・債券残高欠落等の制約がある。,一括運用 / 債券運用拡大
栃木県,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
群馬県,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
埼玉県,prefecture_funds,annual_average_actual,annual_actual,,1360100.0,476000.0,34.997427,884100.0,65.002573,,,,,8280.705,0.609,,,,,,あり,安全性・流動性を確保しつつ基金を預金・債券で運用。原則満期保有を基本とする公表方針。,,https://www.pref.saitama.lg.jp/documents/9675/unyoujyokyo7-4.pdf,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。,高債券比率 / 一括運用
千葉県,prefecture_funds,annual_average_actual,annual_actual,,1254300.0,500500.0,39.902735,753800.0,60.097265,,,,,6049.462,0.482,,,,,,,安全性・流動性・収益性を踏まえ公金管理。基金で国債・地方債等を活用。,,https://www.pref.chiba.lg.jp/suitou/unyou/joukyou202603.html,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。,高債券比率
東京都,prefecture_funds,annual_actual_plus_R7_portfolio_estimate,mixed,3790000.0,3792100.0,2460000.0,64.90765171503958,1330000.0,35.0,,,,,20973.5,0.553,,,,10.0,R8から複合ラダー型を明示,R8特定目的基金で導入,東京都公金管理ポリシー。安全性・流動性確保を前提に効率性を追求。,R7に基金の債券割合を段階的引上げ。R8は短中長期の複合ラダーへ。,https://www.metro.tokyo.lg.jp/information/press/2026/05/2026052909,A,R7年間実績で数量比較が可能で、年限・運用手法まで把握できる。 年間平均残高・利回り・収入は確定実績。配分はR8計画資料に掲載されたR7実績見込み（丸め値）。,中程度債券 / 年限・ラダー管理 / 一括運用 / 債券運用拡大
神奈川県,,,,,,,,,,,,,,,,,,,,満期分散方針あり,,長期資金を国債・政府保証債・地方債等で運用し原則満期保有。,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,年限・ラダー管理
新潟県,,,,,,,,,,,,,,,,,,,,,預金及び国債等で一括運用,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,一括運用
富山県,,,,,,,,,,,,,,,,,,,,,,短期は預金等、長期は国債等。運用基準を改定。,R7に財投機関債等を対象へ追加し、より長い年限も検討。,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,債券運用拡大
石川県,,,,,,,,,,,,,,,,,,,,,,,,,C,定量値はあるが、見込・年度途中・対象範囲・債券残高欠落等の制約がある。,部分情報型
福井県,,,,,,,,,,,,,,,,,,,,,,,,,C,定量値はあるが、見込・年度途中・対象範囲・債券残高欠落等の制約がある。,部分情報型
山梨県,,,,,,,,,,,,,,,,,,,,,,,,,E,R7の実態把握に使える公開情報を今回の再検索でほぼ確認できない。不存在を意味しない。,公開情報不足
長野県,,,,,,,,,,,,,,,,,,,,,,長期資金を国債・地方債等で運用し原則満期保有。,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
岐阜県,,,,,,,,,,,,,,,,,,,,,,国債・政府保証債・地方債等。満期保有・分散運用・基金所管課と期間調整。,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
静岡県,prefecture_funds,annual_average_actual,annual_actual,,883500.0,338800.0,38.347482,544700.0,61.652518,,,,,4730.0,0.535371,0.455,0.664,,,,あり（平成14年度から基金一括運用）,基金を一括運用し、預金・国債・地方債等を活用。競争性を確保した預金運用も実施。,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。,高債券比率 / 一括運用
愛知県,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
三重県,,,,,,,,,,,,,,,,,,,,,,単年度・中長期資金計画を用い、一括基金の中長期運用を管理。,国庫短期証券を新たに導入し、債券運用割合を拡大。,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,債券運用拡大
滋賀県,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
京都府,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
大阪府,prefecture_public_money,annual_forecast,forecast,,892300.0,,,,,,,,,,0.442,,,,20.0,あり,,財務マネジメント委員会で長期運用計画・商品・年限を審議。,長期運用を継続し、R8計画で財投機関債20年購入も検討。,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,C,"定量値はあるが、見込・年度途中・対象範囲・債券残高欠落等の制約がある。 R7見込み。長期運用平均2,906億円を債券残高と同義にしない。",年限・ラダー管理 / 債券運用拡大
兵庫県,prefecture_public_money,annual_actual,annual_actual,840300.0,840300.0,610900.0,72.70022610972272,229400.0,27.299774,,,,,,0.636,,,6.21,30.0,あり（1・2・3・5・10・20・30年に分散）,,資金管理委員会・運用指針・年度計画の下で年限分散。,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku.pdf,A,R7年間実績で数量比較が可能で、年限・運用手法まで把握できる。 基金単独ではなく資金管理全体。R7新規購入平均年限6.21年。,中程度債券 / 年限・ラダー管理
奈良県,,,,,,,,,,,,,,,,,,,,,,,,,E,R7の実態把握に使える公開情報を今回の再検索でほぼ確認できない。不存在を意味しない。,公開情報不足
和歌山県,,,,,,,,,,,,,,,,,,,,,,基金は預金を基本。県債管理基金の一部で他自治体地方債等を活用。,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
鳥取県,prefecture_funds,annual_average_actual,annual_actual,,75500.0,64000.0,84.768212,11500.0,15.231788,,,,,392.54,0.519921,0.411,1.125,,,,,基金を銀行預金、有価証券（国債・政府保証債・地方債）で運用。,,https://www.pref.tottori.lg.jp/258342.htm,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。,現預金比重大
島根県,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
岡山県,,,,,,,,,,,,,,,,,,,,一括運用基金はラダー運用を基本,あり,公金運用方針に基づき預金を基本としつつ長期資金を債券で分散運用。,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,年限・ラダー管理 / 一括運用
広島県,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
山口県,,,,,,,,,,,,,,,,,,,,,,,,,E,R7の実態把握に使える公開情報を今回の再検索でほぼ確認できない。不存在を意味しない。,公開情報不足
徳島県,,,,,,,,,,,,,,,,,,,,,,,総合計画で「基金を活用した債券運用の拡大」を明記。,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,債券運用拡大
香川県,,,,,,,,,,,,,,,,,,,,,,,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,部分情報型
愛媛県,,,,,,,,,,,,,,,,,,,,,,,,,E,R7の実態把握に使える公開情報を今回の再検索でほぼ確認できない。不存在を意味しない。,公開情報不足
高知県,,,,,,,,,,,,,,,,,,,,あり（公表方針）,,基金を預金・債券で運用し、ラダー型運用を含む資金管理方針。,,,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。,年限・ラダー管理
福岡県,prefecture_funds,year_end_actual,annual_actual,926273.854,,232324.238,25.081592986430124,693949.616,74.918407,,,,,6987.116,0.715,,,,,,全基金を財政課で一括運用,信用力の高い債券と預金を組み合わせて運用。,低金利期から預金中心を見直し債券へシフト。R7年度末は債券約75%。,https://www.pref.fukuoka.lg.jp/contents/kikintumitatejyoukyou.html,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。 出納整理期間後年度末残高。平均残高ベースの5県とは別枠。,高債券比率 / 一括運用 / 債券運用拡大
佐賀県,,,,,,,,,,,,,,,,,,,,,,,,,E,R7の実態把握に使える公開情報を今回の再検索でほぼ確認できない。不存在を意味しない。,公開情報不足
