prefecture,R7_strict_comparability,basis
北海道,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
青森県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
岩手県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
宮城県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
秋田県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
山形県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
福島県,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。
茨城県,C,定量値はあるが、見込・年度途中・対象範囲・債券残高欠落等の制約がある。
栃木県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
群馬県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
埼玉県,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。
千葉県,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。
東京都,A,R7年間実績で数量比較が可能で、年限・運用手法まで把握できる。
神奈川県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
新潟県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
富山県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
石川県,C,定量値はあるが、見込・年度途中・対象範囲・債券残高欠落等の制約がある。
福井県,C,定量値はあるが、見込・年度途中・対象範囲・債券残高欠落等の制約がある。
山梨県,E,R7の実態把握に使える公開情報を今回の再検索でほぼ確認できない。不存在を意味しない。
長野県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
岐阜県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
静岡県,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。
愛知県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
三重県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
滋賀県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
京都府,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
大阪府,C,定量値はあるが、見込・年度途中・対象範囲・債券残高欠落等の制約がある。
兵庫県,A,R7年間実績で数量比較が可能で、年限・運用手法まで把握できる。
奈良県,E,R7の実態把握に使える公開情報を今回の再検索でほぼ確認できない。不存在を意味しない。
和歌山県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
鳥取県,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。
島根県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
岡山県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
広島県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
山口県,E,R7の実態把握に使える公開情報を今回の再検索でほぼ確認できない。不存在を意味しない。
徳島県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
香川県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
愛媛県,E,R7の実態把握に使える公開情報を今回の再検索でほぼ確認できない。不存在を意味しない。
高知県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
福岡県,B,R7年間実績で主要な定量比較が可能。年限・商品内訳等の一部が不足。
佐賀県,E,R7の実態把握に使える公開情報を今回の再検索でほぼ確認できない。不存在を意味しない。
長崎県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
熊本県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
大分県,C,定量値はあるが、見込・年度途中・対象範囲・債券残高欠落等の制約がある。
宮崎県,C,定量値はあるが、見込・年度途中・対象範囲・債券残高欠落等の制約がある。
鹿児島県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
沖縄県,D,方針・制度・部分数値は確認できるが、R7の主要数量を横断比較できない。
