prefecture,lump_sum_management,maturity_ladder,average_maturity_years,max_maturity_years,risk_management,recent_bond_expansion
三重県,,,,,単年度・中長期資金計画を用い、一括基金の中長期運用を管理。,国庫短期証券を新たに導入し、債券運用割合を拡大。
兵庫県,,あり（1・2・3・5・10・20・30年に分散）,6.21,30,資金管理委員会・運用指針・年度計画の下で年限分散。,
千葉県,,,,,安全性・流動性・収益性を踏まえ公金管理。基金で国債・地方債等を活用。,
和歌山県,,,,,基金は預金を基本。県債管理基金の一部で他自治体地方債等を活用。,
埼玉県,あり,,,,安全性・流動性を確保しつつ基金を預金・債券で運用。原則満期保有を基本とする公表方針。,
大分県,原則一括運用,20年ラダーを基本,,20,国債・政府保証債・地方債・JFM債・財投機関債・高速道路会社債等。原則満期保有。,R7は高速道路会社債等の購入で収入増を図る。
大阪府,,あり,,20,財務マネジメント委員会で長期運用計画・商品・年限を審議。,長期運用を継続し、R8計画で財投機関債20年購入も検討。
宮崎県,,,,10,定期預金に加え10年以下の国債や安全性の高い公社債を活用。,
富山県,,,,,短期は預金等、長期は国債等。運用基準を改定。,R7に財投機関債等を対象へ追加し、より長い年限も検討。
岐阜県,,,,,国債・政府保証債・地方債等。満期保有・分散運用・基金所管課と期間調整。,
岡山県,あり,一括運用基金はラダー運用を基本,,,公金運用方針に基づき預金を基本としつつ長期資金を債券で分散運用。,
岩手県,33基金の約8割を一括繰替運用（公表答弁）,,,,,債券運用拡大、人材育成、外部助言の強化を研究。
徳島県,,,,,,総合計画で「基金を活用した債券運用の拡大」を明記。
新潟県,預金及び国債等で一括運用,,,,,
東京都,R8特定目的基金で導入,R8から複合ラダー型を明示,,10,東京都公金管理ポリシー。安全性・流動性確保を前提に効率性を追求。,R7に基金の債券割合を段階的引上げ。R8は短中長期の複合ラダーへ。
沖縄県,,,,,,対象基金で国債等による債券運用を再開・分散。
熊本県,歳計現金・歳入歳出外現金・基金を一括運用,あり,,,国債・地方債・政府保証債・JFM債・財投機関債等。満期分散。,
神奈川県,,満期分散方針あり,,,長期資金を国債・政府保証債・地方債等で運用し原則満期保有。,
福岡県,全基金を財政課で一括運用,,,,信用力の高い債券と預金を組み合わせて運用。,低金利期から預金中心を見直し債券へシフト。R7年度末は債券約75%。
福島県,基金現金は一括運用,,,,預金と債券を区分し、安全性・流動性を踏まえ運用。,
秋田県,,,,,,令和元年度から債券運用を開始し順次運用額を拡大。
茨城県,あり,,,,資金管理方針を策定し、安全性・流動性を確保。,金利上昇を踏まえ債券運用割合を高める方針。
長野県,,,,,長期資金を国債・地方債等で運用し原則満期保有。,
静岡県,あり（平成14年度から基金一括運用）,,,,基金を一括運用し、預金・国債・地方債等を活用。競争性を確保した預金運用も実施。,
高知県,,あり（公表方針）,,,基金を預金・債券で運用し、ラダー型運用を含む資金管理方針。,
鳥取県,,,,,基金を銀行預金、有価証券（国債・政府保証債・地方債）で運用。,
