prefecture,comparability,typology
北海道,D,部分情報型
青森県,D,部分情報型
岩手県,D,一括運用 / 債券運用拡大
宮城県,D,部分情報型
秋田県,D,債券運用拡大
山形県,D,部分情報型
福島県,B,中程度債券 / 一括運用
茨城県,C,一括運用 / 債券運用拡大
栃木県,D,部分情報型
群馬県,D,部分情報型
埼玉県,B,高債券比率 / 一括運用
千葉県,B,高債券比率
東京都,A,中程度債券 / 年限・ラダー管理 / 一括運用 / 債券運用拡大
神奈川県,D,年限・ラダー管理
新潟県,D,一括運用
富山県,D,債券運用拡大
石川県,C,部分情報型
福井県,C,部分情報型
山梨県,E,公開情報不足
長野県,D,部分情報型
岐阜県,D,部分情報型
静岡県,B,高債券比率 / 一括運用
愛知県,D,部分情報型
三重県,D,債券運用拡大
滋賀県,D,部分情報型
京都府,D,部分情報型
大阪府,C,年限・ラダー管理 / 債券運用拡大
兵庫県,A,中程度債券 / 年限・ラダー管理
奈良県,E,公開情報不足
和歌山県,D,部分情報型
鳥取県,B,現預金比重大
島根県,D,部分情報型
岡山県,D,年限・ラダー管理 / 一括運用
広島県,D,部分情報型
山口県,E,公開情報不足
徳島県,D,債券運用拡大
香川県,D,部分情報型
愛媛県,E,公開情報不足
高知県,D,年限・ラダー管理
福岡県,B,高債券比率 / 一括運用 / 債券運用拡大
佐賀県,E,公開情報不足
長崎県,D,部分情報型
熊本県,D,年限・ラダー管理 / 一括運用
大分県,C,年限・ラダー管理 / 一括運用 / 債券運用拡大
宮崎県,C,中程度債券
鹿児島県,D,部分情報型
沖縄県,D,債券運用拡大
