fund_name,ordinance_or_public_rule,amount_or_horizon,R8_withdrawal_oku_yen,minimum_balance_interpretation,alm_interpretation,source_id
中核産業人材確保支援基金,県内企業就職者の奨学金返還支援。基金現金は最も確実かつ有利に保管し目的事業に全部又は一部処分・繰替運用可,設置時基金積立1.1778億円・支援は就職後1年経過後から最大7年間,0.23691,1.1778億円は設置時積立額で最低残高ではない,既採択者への将来7年以内給付をliability schedule化し支払年限に満期を合わせる,EHIME-CORE-HUMAN-FUND
中山間ふるさと保全対策基金,中山間・棚田地域の多面的機能維持と住民活動活性化に利用,基金造成額13億円,0.42885,13億円は造成額で最低残高とは確認できない,年度事業分は短期化し残余は数年の事業計画確認後に1-3年中心,EHIME-MOUNTAIN-FUND
社会福祉施設整備基金,社会福祉施設整備費の財源。最も確実かつ有利に保管し目的事業に全部又は一部処分・繰替運用可,造成時16億円,0,16億円は造成時原資で最低残高ではない,施設整備パイプラインがなければ中期候補だが個別整備計画確認前に長期core化しない,EHIME-SOCIAL-WELFARE-FUND
漁業振興資金積立金,漁業設備近代化等の資金融通円滑化。県信用漁業協同組合連合会へ預託する形で運営,基金残高・R8積立とも2.30億円,2.30000,制度運営上2.30億円を預託する構造で一般的な余剰現金とは異なる,預託運用そのものが政策手段のためbond-convertible cashから原則除外,EHIME-FISHERY-FUND
スポーツ推進基金,国体等開催基金を改組し大会成果を継承してスポーツ推進施策へ充当,固定最低額は確認できない,5.31301,最低残高の明示なし,R8目的支出額を高流動性確保し残余は中期計画確認後に運用,EHIME-SPORTS-FUND
高齢者施策推進基金,高齢者支援施策を推進。予算で積立額を定め最も確実かつ有利に保管し目的事業に全部又は一部処分・繰替運用可,固定最低額なし,0.03779,条例上の最低残高なし,年度支出をcash確保し残余は事業計画が確認できるまで短期中心,EHIME-ELDERLY-POLICY-FUND
特定非営利活動促進基金,NPO法人活動助成・育成支援等に利用,固定最低額は確認できない,0.09902,寄附・助成原資で最低残高の明示なし,採択済助成額を高流動性で確保し残余も寄附目的に合わせ短期中心,EHIME-NPO-FUND
農業構造改革支援基金,農業構造改革支援のため条例設置,固定最低額は確認できない,0.62690,条例設置額を最低残高としない,年度事業を高流動性で確保し国事業等の終期が判明すれば満期上限を設定,EHIME-AGRI-REFORM-FUND
農林水産業体質強化緊急対策基金,農林水産業の体質強化緊急対策に使用,固定最低額は確認できない,2.92212,最低残高の明示なし,緊急対策型・補助事業型として長期core化せず事業終期以内の短中期,EHIME-AGRI-STRENGTH-FUND
新型コロナ地方創生臨時基金,新型コロナ地方創生臨時基金条例に基づく臨時事業,臨時基金・R8にも残余事業または精算2.01628億円,2.01628,恒久的最低残高なし,残務精算型として長期運用対象外・cash/near-cash中心,EHIME-COVID-LOCAL-FUND
歴史文化博物館事業推進基金,歴史文化博物館事業推進のため条例設置,固定最低額は確認できない,0.05000,最低残高の明示なし,小規模年度支出を確保し残余は事業計画に応じ短期中心,EHIME-HISTORY-MUSEUM-FUND
