fund_name,current_public_evidence,R8_interest_or_dividend_thousand_yen,R8_withdrawal_thousand_yen,R8_withdrawal_oku_yen,historical_status_note
「三浦保」愛基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,114443,179483,1.79483,H23監査母集団に存在
とべ動物園魅力向上基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,6916,368625,3.68625,H23後新設・改称等またはH23母集団外
スポーツ推進基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,9046,531301,5.31301,H23後新設・改称等またはH23母集団外
デジタル社会形成推進基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,22568,1395915,13.95915,H23後新設・改称等またはH23母集団外
中山間ふるさと保全対策基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,7115,42885,0.42885,H23監査母集団に存在
中核産業人材確保支援基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,1467,23691,0.23691,H23後新設・改称等またはH23母集団外
介護保険財政安定化基金,R8一般会計利子・配当収入,10990,,,H23監査母集団に存在
企業立地促進基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,23008,2325831,23.25831,H23後新設・改称等またはH23母集団外
企業立地資金貸付基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,2069,208592,2.08592,H23監査母集団に存在
公立学校情報機器整備基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,3319,3473,0.03473,H23後新設・改称等またはH23母集団外
医師確保奨学基金,貸付運用基金,,,,H23監査母集団に存在
国民健康保険財政安定化基金,法定・公表基金,,,,H23後新設・改称等またはH23母集団外
土地開発基金,R8一般会計利子・配当収入,29000,,,H23監査母集団に存在
地域医療介護総合確保基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,53405,3421152,34.21152,H23後新設・改称等またはH23母集団外
地域環境保全基金,R8一般会計基金繰入,,62033,0.62033,H23監査母集団に存在
子ども子育て応援基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,823,41341,0.41341,H23後新設・改称等またはH23母集団外
安心こども基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,1865,38550,0.38550,H23監査母集団に存在
官民共創推進基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,9558,333536,3.33536,H23後新設・改称等またはH23母集団外
後期高齢者医療財政安定化基金,R8一般会計利子・配当収入,13325,,,H23監査母集団に存在
新型コロナ地方創生臨時基金,R8一般会計基金繰入 / R8繰入・精算,,201628,2.01628,H23後新設・改称等またはH23母集団外
森林整備担い手対策基金,R8一般会計利子・配当収入,26370,,,H23監査母集団に存在
森林環境保全基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,2015,819662,8.19662,H23監査母集団に存在
森林環境譲与税基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,535,209335,2.09335,H23後新設・改称等またはH23母集団外
歴史文化博物館事業推進基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,330,5000,0.05000,H23後新設・改称等またはH23母集団外
漁業振興資金積立金,R8一般会計利子・配当収入 / R8一般会計基金繰入,253,230000,2.30000,H23監査母集団に存在
災害に強い愛媛づくり基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,32430,784577,7.84577,H23後新設・改称等またはH23母集団外
災害救助基金,特別会計・法定基金,,,,H23監査母集団に存在
特定非営利活動促進基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,115,9902,0.09902,H23監査母集団に存在
県債管理基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,115112,3756450,37.56450,H23監査母集団に存在
県有施設更新整備基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,57000,2242660,22.42660,旧・大規模県有施設整備基金から改称・目的拡張
県有施設維持管理基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,173213,173213,1.73213,H23監査母集団に存在
県立学校教育環境整備基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,66460,2746937,27.46937,H23後新設・改称等またはH23母集団外
県立学校火災等災害復旧基金,R8一般会計利子・配当収入,942,,,H23監査母集団に存在
県立高等学校等教育改革推進基金,R8一般会計利子・配当収入,300,,,H23後新設・改称等またはH23母集団外
社会福祉施設整備基金,R8一般会計利子・配当収入,3192,,,H23監査母集団に存在
美術品等取得基金,定額運用基金,,,,H23監査母集団に存在
職員退職手当基金,R8一般会計基金繰入 / R8繰入あり,,3700000,37.00000,H23監査母集団に存在
自転車新文化推進基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,15,11350,0.11350,H23後新設・改称等またはH23母集団外
財政基盤強化積立金,R8一般会計利子・配当収入 / R8一般会計基金繰入,158477,10700000,107.00000,H23監査母集団に存在
資源循環促進基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,2350,259961,2.59961,H23監査母集団に存在
農林水産業体質強化緊急対策基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,18269,292212,2.92212,H23後新設・改称等またはH23母集団外
農業構造改革支援基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,2475,62690,0.62690,H23後新設・改称等またはH23母集団外
高齢者施策推進基金,R8一般会計利子・配当収入 / R8一般会計基金繰入,202,3779,0.03779,H23後新設・改称等またはH23母集団外
