fiscal_year,period,start_date,end_date,fund,amount_m_yen
R3,1,2021-04-01,2021-05-31,財政調整基金,22526
R3,1,2021-04-01,2021-05-31,減債基金,17993
R3,1,2021-04-01,2021-05-31,県有施設更新整備基金,11188
R3,1,2021-04-01,2021-05-31,土地開発基金,5999
R3,1,2021-04-01,2021-05-31,県有施設維持管理基金,18000
R3,1,2021-04-01,2021-05-31,災害に強い愛媛づくり基金,5893
R3,2,2021-05-31,2021-08-31,減債基金,17993
R3,2,2021-05-31,2021-08-31,県有施設更新整備基金,15167
R3,2,2021-05-31,2021-08-31,土地開発基金,5999
R3,2,2021-05-31,2021-08-31,災害に強い愛媛づくり基金,5994
R3,3,2021-08-31,2021-11-30,財政調整基金,22533
R3,3,2021-08-31,2021-11-30,土地開発基金,5999
R3,3,2021-08-31,2021-11-30,県有施設維持管理基金,18000
R3,4,2021-11-30,2022-03-31,減債基金,17994
R3,4,2021-11-30,2022-03-31,県有施設更新整備基金,15167
R3,4,2021-11-30,2022-03-31,土地開発基金,5999
R3,4,2021-11-30,2022-03-31,県有施設維持管理基金,18000
R3,4,2021-11-30,2022-03-31,災害に強い愛媛づくり基金,5994
R4,1,2022-04-01,2022-05-31,財政調整基金,24888
R4,1,2022-04-01,2022-05-31,減債基金,18786
R4,1,2022-04-01,2022-05-31,土地開発基金,5999
R4,1,2022-04-01,2022-05-31,県有施設維持管理基金,18000
R4,1,2022-04-01,2022-05-31,災害に強い愛媛づくり基金,5994
R4,2,2022-05-31,2022-08-31,県有施設更新整備基金,20351
R4,3,2022-08-31,2022-11-30,減債基金,18787
R4,3,2022-08-31,2022-11-30,土地開発基金,5999
R4,3,2022-08-31,2022-11-30,県有施設維持管理基金,18000
R4,3,2022-08-31,2022-11-30,災害に強い愛媛づくり基金,6142
R4,3,2022-08-31,2022-11-30,デジタル社会形成推進基金,13001
R4,4,2022-11-30,2023-03-31,財政調整基金,25896
R4,4,2022-11-30,2023-03-31,減債基金,18787
R4,4,2022-11-30,2023-03-31,土地開発基金,5999
R4,4,2022-11-30,2023-03-31,県有施設維持管理基金,18000
R5,1,2023-04-01,2023-05-31,財政調整基金,28262
R5,1,2023-04-01,2023-05-31,減債基金,18788
R5,1,2023-04-01,2023-05-31,土地開発基金,5999
R5,1,2023-04-01,2023-05-31,県有施設維持管理基金,18000
R5,2,2023-05-31,2023-08-31,減債基金,18788
R5,2,2023-05-31,2023-08-31,土地開発基金,5999
R5,3,2023-08-31,2023-11-30,減債基金,18789
R5,3,2023-08-31,2023-11-30,県有施設更新整備基金,19235
R5,3,2023-08-31,2023-11-30,県有施設維持管理基金,18000
R5,3,2023-08-31,2023-11-30,災害に強い愛媛づくり基金,6288
R5,4,2023-11-30,2024-03-29,財政調整基金,30271
R5,4,2023-11-30,2024-03-29,減債基金,18790
R5,4,2023-11-30,2024-03-29,県有施設更新整備基金,19235
R5,4,2023-11-30,2024-03-29,県有施設維持管理基金,18000
R5,4,2023-11-30,2024-03-29,デジタル社会形成推進基金,10505
R6,1,2024-04-01,2024-05-31,財政調整基金,33178
R6,1,2024-04-01,2024-05-31,減債基金,21053
R6,1,2024-04-01,2024-05-31,県有施設更新整備基金,19235
R6,1,2024-04-01,2024-05-31,デジタル社会形成推進基金,10506
R6,2,2024-05-31,2024-08-30,財政調整基金,27328
R6,2,2024-05-31,2024-08-30,土地開発基金,5999
R6,2,2024-05-31,2024-08-30,災害に強い愛媛づくり基金,6505
R6,3,2024-08-30,2024-11-29,財政調整基金,27347
R6,3,2024-08-30,2024-11-29,減債基金,21055
R6,3,2024-08-30,2024-11-29,県有施設維持管理基金,18000
R6,3,2024-08-30,2024-11-29,デジタル社会形成推進基金,8520
R6,4,2024-11-29,2025-03-31,財政調整基金,27354
R6,4,2024-11-29,2025-03-31,減債基金,21061
R6,4,2024-11-29,2025-03-31,県有施設更新整備基金,20834
R6,4,2024-11-29,2025-03-31,災害に強い愛媛づくり基金,6508
R6,4,2024-11-29,2025-03-31,デジタル社会形成推進基金,8522
