fiscal_year,period,start_date,end_date,amount_m_yen,amount_oku_yen
R3,1,2021-04-01,2021-05-31,81599,815.99
R3,2,2021-05-31,2021-08-31,45153,451.53
R3,3,2021-08-31,2021-11-30,46532,465.32
R3,4,2021-11-30,2022-03-31,63154,631.54
R4,1,2022-04-01,2022-05-31,73667,736.67
R4,2,2022-05-31,2022-08-31,20351,203.51
R4,3,2022-08-31,2022-11-30,61929,619.29
R4,4,2022-11-30,2023-03-31,68682,686.82
R5,1,2023-04-01,2023-05-31,71049,710.49
R5,2,2023-05-31,2023-08-31,24787,247.87
R5,3,2023-08-31,2023-11-30,62312,623.12
R5,4,2023-11-30,2024-03-29,96801,968.01
R6,1,2024-04-01,2024-05-31,83972,839.72
R6,2,2024-05-31,2024-08-30,39832,398.32
R6,3,2024-08-30,2024-11-29,74922,749.22
R6,4,2024-11-29,2025-03-31,84279,842.79
