fiscal_year,fund,ending_balance_m_yen,known_contribution_m_yen,known_withdrawal_m_yen,net_change_m_yen,balance_change_pct
R2,財政調整基金,22570.0,2100.0,0.0,,
R3,財政調整基金,25932.0,3400.0,0.0,3362.0,14.89587948604342
R4,財政調整基金,30306.0,4400.0,0.0,4374.0,16.867191115224433
R5,財政調整基金,27372.0,2900.0,5900.0,-2934.0,-9.681251237378737
R6,財政調整基金,26114.0,2600.0,3900.0,-1258.0,-4.595937454332895
R2,減債基金,17993.0,,,,
R3,減債基金,18786.0,,,793.0,4.407269493691992
R4,減債基金,18788.0,,,2.0,0.010646225912913872
R5,減債基金,21053.0,2300.0,,2265.0,12.055567383436236
R6,減債基金,22931.0,3000.0,1100.0,1878.0,8.920343893981855
R2,県有施設更新整備基金,15167.0,5700.0,,,
R3,県有施設更新整備基金,20351.0,8400.0,,5184.0,34.17946858310806
R4,県有施設更新整備基金,19235.0,2000.0,3100.0,-1116.0,-5.4837600117930325
R5,県有施設更新整備基金,20834.0,,5400.0,1599.0,8.312971146347802
R6,県有施設更新整備基金,16532.0,,5000.0,-4302.0,-20.648939233944514
R2,県立学校教育環境整備基金,,,800.0,,
R3,県立学校教育環境整備基金,1838.0,,600.0,,
R4,県立学校教育環境整備基金,1956.0,600.0,,118.0,6.420021762785637
R5,県立学校教育環境整備基金,11039.0,9600.0,,9083.0,464.3660531697342
R6,県立学校教育環境整備基金,13227.0,4100.0,,2188.0,19.820635927167316
R2,デジタル社会形成推進基金,0.0,,,,
R3,デジタル社会形成推進基金,13000.0,13000.0,,13000.0,
R4,デジタル社会形成推進基金,10504.0,,2500.0,-2496.0,-19.2
R5,デジタル社会形成推進基金,8519.0,,2000.0,-1985.0,-18.897562833206397
R6,デジタル社会形成推進基金,6652.0,,1900.0,-1867.0,-21.915717807254374
R2,地域医療介護総合確保基金,7516.0,,3200.0,,
R3,地域医療介護総合確保基金,7863.0,,1600.0,347.0,4.616817456093667
R4,地域医療介護総合確保基金,8020.0,3000.0,,157.0,1.9966933740302684
R5,地域医療介護総合確保基金,8148.0,,,128.0,1.596009975062344
R6,地域医療介護総合確保基金,8427.0,,,279.0,3.424153166421208
R2,災害に強い愛媛づくり基金,5994.0,700.0,,,
R3,災害に強い愛媛づくり基金,6141.0,,,147.0,2.4524524524524525
R4,災害に強い愛媛づくり基金,6287.0,,,146.0,2.3774629539163006
R5,災害に強い愛媛づくり基金,6505.0,,,218.0,3.467472562430412
R6,災害に強い愛媛づくり基金,6515.0,,,10.0,0.15372790161414296
