bucket,maturity_year,amount_oku_yen,classification,design_note
即時現金,0,765.91250,cash,日々の資金繰り・繰替需要を即時カバー
near-cash,0.25,101.04875,near_cash,短期預金等を想定し即時現金を補完
1年以内債,1,101.04875,bond_liquidity,年度内の資金需要日に合わせて満期を配置
1-3年債,2,66.85335,bond_ladder,中期支出パイプラインに満期を対応
1-3年債,3,66.85335,bond_ladder,中期支出パイプラインに満期を対応
3-5年債,4,58.49668125,bond_ladder,施設更新等の計画支出と満期を対応
3-5年債,5,58.49668125,bond_ladder,施設更新等の計画支出と満期を対応
5年以上債,6,16.71333750,bond_core,低使用見込み資金のみ
5年以上債,7,16.71333750,bond_core,低使用見込み資金のみ
5年以上債,8,16.71333750,bond_core,低使用見込み資金のみ
5年以上債,9,16.71333750,bond_core,低使用見込み資金のみ
5年以上債,10,16.71333750,bond_core,低使用見込み資金のみ
BOND_TOTAL,,435.31550,bond_total,標準ケースの債券運用額
TOTAL_PORTFOLIO,,1302.27675,total,R6基金総額をモデル分母とする
