date,event,confirmed_value,interpretation,source_id
2024-03-19,日銀がマイナス金利政策とYCCの枠組みを終了,短期金利0-0.1%程度へ,金利正常化の起点,BOJ-POLICY-2024-03
2024-07-31,政策金利引上げ・長期国債買入れ減額計画,政策金利0.25%・買入れ5.7兆円実績→2026Q1 2.9兆円計画,安全資産金利上昇と市場機能回復の背景,BOJ-POLICY-2024-07
2024-09,春日井市が基金の一部で債券運用開始,運用額7億円,自治体側の運用開始事例,KASUGAI-BOND-2024
2024-12,10年国債金利,年末1.1%付近,超低金利期からの転換を示す市場指標,MOF-JGB-2025
2025-01-24,日銀政策金利引上げ,0.5%程度,金利正常化継続,BOJ-POLICY-2025-01
2025-02-26,武蔵野市資金管理方針改正,国債・政府保証債・地方債・財投機関債等を対象化,運用制度整備の具体例,MUSASHINO-POLICY-2025
2025-03,地方公共団体部門の国債・財投債保有残高,163億円,急増前の基準時点,NIKKEI-2026-09-13
2025-03-31,東京都R7公金管理計画,基金債券比率35%程度・R8 40%程度想定,金利上昇局面で債券比率を段階的に引上げ,TOKYO-R7-PLAN
2025-06-17,日銀が国債買入れ減額計画を中間評価,2026Q1 2.9兆円・2026Q3 2.5兆円程度,買入れ減額を継続,BOJ-POLICY-2025-06
2025-12-19,日銀政策金利引上げ,0.75%程度,金利正常化継続,BOJ-POLICY-2025-12
2025-12,10年国債金利,年末2.0%台,安全資産利回りがさらに上昇,MOF-JGB-2026
2026-03,地方公共団体部門の国債・財投債保有残高,約1.6兆円,2025/3比で約100倍のストック増,NIKKEI-2026-09-13
2026-03-30,東京都R8公金管理計画,基金債券比率43%想定・複合ラダー導入,運用高度化の進展,TOKYO-R8-PLAN
2026-06-16,日銀政策金利引上げ,1.0%程度,短期金利も一段上昇,BOJ-POLICY-2026-06
2026-06,1千万円以上1年定期平均金利,0.381%,預金金利も上昇しており債券優位は年限別比較が必要,BOJ-DEPOSIT-RATES
2026-09-01,10年国債入札平均落札利回り,2.995%,足元の国債利回り水準を示す,MOF-JGB-AUCTION-2026-09
