source_id,owner,title,period,url,role,last_checked
EHIME-R6-FISCAL-COMP,愛媛県,令和6年度都道府県財政比較分析表,令和6年度,https://www.pref.ehime.jp/uploaded/attachment/176599.pdf,愛媛県Cグループ・財政力指数0.45・グループ内順位6/11・標準財政規模,2026-09-16
NIIGATA-POLICY-2025,新潟県,新潟県公金管理方針,令和7年9月1日改定,https://www.pref.niigata.lg.jp/sec/suitoukanri/1356775812913.html,基金等の公金管理・運用定義・一括運用制度,2026-09-16
HOKKAIDO-R7-PARTIAL,北海道議会,決算特別委員会分科会記録（基金債券運用関係）,令和7年度関係,https://www.gikai.pref.hokkaido.lg.jp/fs/1/3/1/0/8/0/5/8/_/Taro-B11-12.pdf,基金の地方債等運用と運用利率上昇の確認,2026-09-16
KAGAWA-R6-FISCAL,香川県,財政事情第155回,令和7年5月,https://www.pref.kagawa.lg.jp/documents/8155/155_all_zaiseijijyo155.pdf,基金預金を見合いとする資金繰り・歳計現金運用,2026-09-16
KAGAWA-R7-GAP,香川県,出納局公開資料,令和7年度確認,https://www.pref.kagawa.lg.jp/suito/index.html,R7基金全体の比較可能運用数値が確認できないことの調査導線,2026-09-16
YAMAGUCHI-CASH-POLICY,山口県,県公金の預金・ペイオフ対策FAQ,現行,https://faq.pref.yamaguchi.lg.jp/faq/detail.aspx?id=1210,基金の繰替運用・残額の定期性預金等による運用方針,2026-09-16
YAMAGUCHI-R7-GAP,山口県監査委員,監査・決算審査意見書,令和6年度決算公表,https://www.pref.yamaguchi.lg.jp/soshiki/173/25710.html,R7比較可能な基金全体債券比率未確認の調査導線,2026-09-16
KUMAMOTO-POLICY,熊本県,熊本県公金管理に関する方針,現行,https://www.pref.kumamoto.jp/uploaded/life/219773_602439_misc.pdf,一括運用・21年以内・満期保有原則・ラダー・債券上限1000億円,2026-09-16
NARA-R7-GAP,奈良県,県公式公開資料横断確認,令和7年度,https://www.pref.nara.jp/,R7基金全体の比較可能運用数値未確認,2026-09-16
YAMANASHI-R6,山梨県,公金運用実績について,令和6年度,https://www.pref.yamanashi.jp/sui-kai/koukinunyou20.html,基金平均運用額・利回り・国債地方債等の運用方法,2026-09-16
TOYAMA-FUND-POLICY,富山県議会,基金運用に関する答弁資料,令和7年度関係,https://www.pref.toyama.jp/documents/51156/yosato.pdf,短期は預金・長期は10年中心の国債等、金利正常化後の運用見直し,2026-09-16
NIIGATA-ASSEMBLY-2026,新潟県議会,県議会だより第97号 基金一括運用,令和8年,https://www.pref.niigata.lg.jp/site/gikai/gikaidayori97situmonn3.html,R7途中から一括運用・預金のみ比の運用益増試算,2026-09-16
