source_id,owner,title,period,url,role
EHIME-TAX-R4,愛媛県,令和4年度県税収入状況,R4,https://www.pref.ehime.jp/uploaded/attachment/114130.pdf,災害救助基金R8法定最少額計算の普通税・核燃料税実績
EHIME-TAX-R5,愛媛県,令和5年度県税収入状況,R5,https://www.pref.ehime.jp/uploaded/attachment/143721.pdf,災害救助基金R8法定最少額計算の普通税・核燃料税実績
EHIME-TAX-R6,愛媛県,令和6年度県税収入状況,R6,https://www.pref.ehime.jp/uploaded/attachment/164007.pdf,災害救助基金R8法定最少額計算の普通税・核燃料税実績
EHIME-BUDGET-R8-DISASTER,愛媛県,令和8年度当初予算 部局別事業一覧 災害救助基金特別会計,R8,https://www.pref.ehime.jp/uploaded/attachment/169525.pdf,災害救助基金積立金4342千円・法定必要額への積立目的
EHIME-CORE-HUMAN-FUND,愛媛県,中核産業人材確保支援基金条例 制定概要,H30以降,https://www.pref.ehime.jp/uploaded/attachment/25021.pdf,基金目的・積立1.1778億円・最大7年の奨学金返還支援・処分繰替
EHIME-MOUNTAIN-FUND,愛媛県,中山間ふるさと保全対策基金条例 改正概要,現行,https://www.pref.ehime.jp/uploaded/attachment/25744.pdf,基金目的・造成額13億円
EHIME-SOCIAL-WELFARE-FUND,愛媛県,社会福祉施設整備基金条例 制定概要,H18以降,https://www.pref.ehime.jp/uploaded/attachment/22083.pdf,社会福祉施設整備・造成時16億円・全部一部処分・繰替運用
EHIME-FISHERY-FUND,愛媛県,包括外部監査 漁業振興資金積立金・予算資料,H23及びR8,https://www.pref.ehime.jp/uploaded/attachment/37467.pdf,2.3億円を信漁連等へ預託する政策運用構造
EHIME-SPORTS-FUND,愛媛県,スポーツ推進基金条例 改正条例,H30以降,https://www.pref.ehime.jp/uploaded/attachment/25093.pdf,国体等開催基金をスポーツ推進基金へ改組・目的
EHIME-ELDERLY-POLICY-FUND,愛媛県,高齢者施策推進基金条例,R3以降,https://www.pref.ehime.jp/uploaded/attachment/25712.pdf,高齢者支援施策・予算積立・全部一部処分・繰替運用
EHIME-NPO-FUND,愛媛県,あったかNPO応援基金,現行,https://nv.pref.ehime.jp/atakahtml/kikin_seido.htm,NPO活動助成・育成支援・条例要綱
EHIME-AGRI-REFORM-FUND,愛媛県,農業構造改革支援基金条例,H26以降,https://www.pref.ehime.jp/page/5356.html,農業構造改革支援基金の条例設置
EHIME-AGRI-STRENGTH-FUND,愛媛県,農林水産業体質強化緊急対策基金条例,H28以降,https://www.pref.ehime.jp/page/5396.html,農林水産業体質強化緊急対策基金の条例設置
EHIME-COVID-LOCAL-FUND,愛媛県,新型コロナウイルス感染症対応地方創生臨時基金条例,R3以降,https://www.pref.ehime.jp/page/5500.html,新型コロナ臨時基金の条例設置
EHIME-HISTORY-MUSEUM-FUND,愛媛県,歴史文化博物館事業推進基金条例,R3以降,https://www.pref.ehime.jp/page/5500.html,歴史文化博物館事業推進基金の条例設置
