source_id,owner,title,period,url,role
STAT-R6-EHIME,総務省・e-Stat,地方財政状況調査 表31（R6愛媛県）,R6年度末基金資産構成,https://github.com/ryotamatsuki/saiken/blob/main/processed/prefecture_fund_investment_R4_R6.csv,基金総額・現預金・有価証券
STAGE3-NATIONAL,ryotamatsuki/saiken,全国都道府県における基金・公金の債券運用実態,R7全国比較,https://github.com/ryotamatsuki/saiken/blob/main/stage3/reports/national_prefecture_public_fund_bond_investment_R7.md,全国ベンチマーク
EHIME-FUND-R2,愛媛県,財政状況資料集 令和2年度 基金残高経年分析,R2基金,https://www.pref.ehime.jp/uploaded/attachment/48875.pdf,基金残高・積立取崩・方針
EHIME-FUND-R3,愛媛県,財政状況資料集 令和3年度 基金残高経年分析,R3基金,https://www.pref.ehime.jp/uploaded/attachment/48860.pdf,基金残高・積立取崩・方針
EHIME-FUND-R4,愛媛県,財政状況資料集 令和4年度 基金残高経年分析,R4基金,https://www.pref.ehime.jp/uploaded/attachment/111758.pdf,基金残高・積立取崩・方針
EHIME-FUND-R5,愛媛県,財政状況資料集 令和5年度 基金残高経年分析,R5基金,https://www.pref.ehime.jp/uploaded/attachment/142265.pdf,基金残高・積立取崩・方針
EHIME-FUND-R6,愛媛県,財政状況資料集 令和6年度 基金残高経年分析,R6基金,https://www.pref.ehime.jp/uploaded/attachment/176608.pdf,基金残高・積立取崩・方針
EHIME-FS-R3,愛媛県,愛媛県の財務書類 令和3年度決算ベース,R3基金繰替運用,https://www.pref.ehime.jp/uploaded/attachment/48798.pdf,期間別・基金別繰替運用
EHIME-FS-R4,愛媛県,愛媛県の財務書類 令和4年度決算ベース,R4基金繰替運用,https://www.pref.ehime.jp/uploaded/attachment/123406.pdf,期間別・基金別繰替運用
EHIME-FS-R5,愛媛県,愛媛県の財務書類 令和5年度決算ベース,R5基金繰替運用,https://www.pref.ehime.jp/uploaded/attachment/145941.pdf,期間別・基金別繰替運用
EHIME-FS-R6,愛媛県,愛媛県の財務書類 令和6年度決算ベース,R6基金繰替運用,https://www.pref.ehime.jp/uploaded/attachment/173306.pdf,期間別・基金別繰替運用
EHIME-POLICY-2023,愛媛県,財政運営基本方針,R5～R8,https://www.pref.ehime.jp/uploaded/attachment/49061.pdf,財源対策用基金400億円規模・豪雨183億円・地方交付税減407億円・R6～R8財源不足333億円・県有施設更新費平均180億円/年・大規模事業基準・県債管理方針
EHIME-PRESS-2026-07,愛媛県,令和8年度7月知事定例記者会見,2026-07-23,https://www.pref.ehime.jp/page/155026.html,R7財源対策用基金残高見込み436億円
EHIME-BUDGET-R7,愛媛県,令和7年度当初予算案等に関する記者発表,2025-02,https://www.pref.ehime.jp/page/102319.html,R7当初段階の財源対策用基金取崩・年度末見通し
EHIME-FINANCE-PAGE-2026,愛媛県,財政課公式ページ,2026-09-15確認,https://www.pref.ehime.jp/soshiki/9/index-2.html,財務書類の最新公表がR6決算ベースであることを確認
EHIME-ACCOUNTING-2026,愛媛県,会計課公式ページ,2026-09-15確認,https://www.pref.ehime.jp/soshiki/113/index.html,基金・歳計現金所管・R7基金全体の債券実績公表未確認
EHIME-R8-BUDGET-DOCS,愛媛県,令和8年度当初予算資料,2026-02,https://www.pref.ehime.jp/page/102289.html,R8予算資料一式・基金繰入・利子配当収入・特別会計
EHIME-BUDGET-R8-EXPLANATION,愛媛県,令和8年度当初予算説明資料,2026-02,https://www.pref.ehime.jp/page/102289.html,一般会計基金繰入32基金351.85764億円・基金別当年度取崩予定
EHIME-AUDIT-H23-FUNDS,愛媛県監査委員・包括外部監査人,平成23年度包括外部監査 基金の管理と運用について,H23,https://www.pref.ehime.jp/page/7198.html,歴史的基金母集団48基金・目的・資産形態・管理運用論点
DISASTER-RELIEF-ACT,e-Gov法令検索,災害救助法,現行,https://laws.e-gov.go.jp/law/322AC0000000118,災害救助基金の法定最少額式・運用可能資産
EHIME-REGIONAL-ENV-FUND,愛媛県,地域環境保全基金,現行,https://www.pref.ehime.jp/page/7933.html,基金4億円・目的・寄附・条例上の処分
EHIME-MEDICAL-CARE-FUND,愛媛県,地域医療介護総合確保基金 医療分,2026-05-31,https://www.pref.ehime.jp/page/4330.html,医療分基金残高・事業計画・終了時期なし
EHIME-ELDERLY-MED-STAB,愛媛県,後期高齢者医療財政安定化基金,現行,https://www.pref.ehime.jp/page/4400.html,広域連合の財政不足時の貸付交付・負担区分・年度別公表
EHIME-NHI-STAB,愛媛県,国民健康保険財政安定化基金,現行,https://www.pref.ehime.jp/page/4390.html,国保財政安定化・造成完了時残高66.17497億円・終了時期なし
EHIME-ANSHIN-KODOMO,愛媛県,安心こども基金 公表資料,現行,https://www.pref.ehime.jp/page/80166.html,残高7.97406億円・新規採択R11年度末・基金解散R12年6月末
EHIME-SCHOOL-DEVICE-FUND,愛媛県,公立学校情報機器整備基金条例 制定概要,R6-R10,https://www.pref.ehime.jp/uploaded/attachment/109416.pdf,R5積立8.36269億円・R6～R10事業・R11-03-31廃止・残額国庫納付
EHIME-HIGHSCHOOL-REFORM-FUND,愛媛県,県立高等学校等教育改革推進基金条例 制定概要,R8-R10,https://www.pref.ehime.jp/uploaded/attachment/174657.pdf,R7積立0.6億円・3年間事業・目的処分・繰替運用
EHIME-PPP-FUND,愛媛県,官民共創推進基金条例 制定概要,R8以降,https://www.pref.ehime.jp/uploaded/attachment/174646.pdf,基金39.4億円・目的処分・繰替運用
EHIME-ENTERPRISE-LOCATION-FUND,愛媛県,企業立地促進基金条例 制定概要,現行,https://www.pref.ehime.jp/uploaded/attachment/142006.pdf,基金50億円・目的処分・繰替運用
EHIME-SETTLEMENT-R6,愛媛県,令和6年度決算 定額運用基金等,R6,https://www.pref.ehime.jp/uploaded/life/131087_231492_misc.pdf,美術品等取得基金30億円の資産内訳・医師確保奨学基金2.5億円の貸付金現金内訳
EHIME-MIURA-FUND,愛媛県,「三浦保」愛基金,現行,https://www.pref.ehime.jp/page/147223.html,寄附株式を原資とし配当を環境福祉教育等へ活用
EHIME-ORDINANCE-R4-ABOLITIONS,愛媛県,令和4年条例第16号等,R4,https://www.pref.ehime.jp/page/5518.html,森林整備地域活動支援基金の廃止確認
EHIME-ORDINANCE-H31-ABOLITIONS,愛媛県,平成31年条例第19号等,H31,https://www.pref.ehime.jp/page/5456.html,森林そ生緊急対策基金の廃止確認
OECD-2025,OECD,Managing Government Cash: A Review of Practices in OECD Countries,2025,https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/02/managing-government-cash_d47b35b7/7675eb58-en.pdf,cash buffer・cash forecasting
WB-CASH,World Bank,Forecasting and Targeting Government Cash Balances,2020,https://documents1.worldbank.org/curated/en/625511593411466514/pdf/Forecasting-and-Targeting-Government-Cash-Balances.pdf,cash forecasting・liquidity strategy
IMF-BUFFER,IMF,How to Set Up A Cash Buffer,2020,https://www.imf.org/en/Publications/Fiscal-Affairs-Department-How-To-Notes/Issues/2020/11/17/How-to-Set-Up-A-Cash-Buffer-A-Practical-Guide-to-Developing-and-Implementing-a-Cash-Buffer-49851,cash buffer
IMF-SURPLUS,IMF,How to Develop a Framework for Investment of Temporary Government Cash Surpluses,2020,https://www.imf.org/en/Publications/Fiscal-Affairs-Department-How-To-Notes/Issues/2020/12/21/How-to-Develop-a-Framework-for-Investment-of-Temporary-Government-Cash-Surpluses-49954,surplus cash investment
ZHAO-2016,Bo Zhao,Saving for a rainy day: Estimating the needed size of U.S. state budget stabilization funds,2016,https://www.sciencedirect.com/science/article/abs/pii/S0166046216301727,州別必要準備額
HOU-2003,Yilin Hou,What Stabilizes State General Fund Expenditures in Downturn Years—Budget Stabilization Fund or General Fund Unreserved Undesignated Balance?,2003,https://onlinelibrary.wiley.com/doi/abs/10.1111/1540-5850.2303004,安定化基金の支出安定化
WAGNER-ELDER-2005,Gary A. Wagner; Erick M. Elder,The Role of Budget Stabilization Funds in Smoothing Government Expenditures over the Business Cycle,2005,https://journals.sagepub.com/doi/10.1177/1091142105276442,制度ルールと安定化
WEI-DENISON-2019,Wenchi Wei; Dwight V. Denison,State Rainy Day Funds and Government General Fund Expenditures: Revisiting the Stabilization Effect,2019,https://journals.sagepub.com/doi/10.1177/1091142118819991,実際の基金使用と安定化
NUKPEZAH-2018,Julius A. Nukpezah,The effects of institutional typologies on the performance of state-sponsored local government investment pools,2018,https://www.tandfonline.com/doi/full/10.1080/09540962.2018.1434344,LGIP・制度類型・リスク管理
WAGNER-2003,Gary A. Wagner,Are state budget stabilization funds only the illusion of savings?,2003,https://www.sciencedirect.com/science/article/abs/pii/S1062976901001326,基金勘定間代替性
