fiscal_label,edition,official_url,catalog_status,primary_use
H14,5月,https://www.pref.ehime.jp/uploaded/attachment/48845.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H14,11月,https://www.pref.ehime.jp/uploaded/attachment/48844.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H15,5月,https://www.pref.ehime.jp/uploaded/attachment/48843.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H15,11月,https://www.pref.ehime.jp/uploaded/attachment/48842.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H16,5月,https://www.pref.ehime.jp/uploaded/attachment/48841.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H16,11月,https://www.pref.ehime.jp/uploaded/attachment/48840.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H17,5月,https://www.pref.ehime.jp/uploaded/attachment/48839.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H17,11月,https://www.pref.ehime.jp/uploaded/attachment/48838.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H18,5月,https://www.pref.ehime.jp/uploaded/attachment/48837.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H18,11月,https://www.pref.ehime.jp/uploaded/attachment/48836.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H19,5月,https://www.pref.ehime.jp/uploaded/attachment/48835.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H19,11月,https://www.pref.ehime.jp/uploaded/attachment/48834.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H20,5月,https://www.pref.ehime.jp/uploaded/attachment/48833.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H20,11月,https://www.pref.ehime.jp/uploaded/attachment/48832.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H21,5月,https://www.pref.ehime.jp/uploaded/attachment/48831.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H21,11月,https://www.pref.ehime.jp/uploaded/attachment/48830.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H22,5月,https://www.pref.ehime.jp/uploaded/attachment/48829.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H22,11月,https://www.pref.ehime.jp/uploaded/attachment/48828.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H23,5月,https://www.pref.ehime.jp/uploaded/attachment/48827.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H23,11月,https://www.pref.ehime.jp/uploaded/attachment/48826.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H24,5月,https://www.pref.ehime.jp/uploaded/attachment/48825.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H24,11月,https://www.pref.ehime.jp/uploaded/attachment/48824.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H25,5月,https://www.pref.ehime.jp/uploaded/attachment/48823.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H25,11月,https://www.pref.ehime.jp/uploaded/attachment/48822.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H26,5月,https://www.pref.ehime.jp/uploaded/attachment/48821.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H26,11月,https://www.pref.ehime.jp/uploaded/attachment/48820.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H27,5月,https://www.pref.ehime.jp/uploaded/attachment/48819.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H27,11月,https://www.pref.ehime.jp/uploaded/attachment/48818.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H28,5月,https://www.pref.ehime.jp/uploaded/attachment/48817.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H28,11月,https://www.pref.ehime.jp/uploaded/attachment/48816.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H29,5月,https://www.pref.ehime.jp/uploaded/attachment/48815.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H29,11月,https://www.pref.ehime.jp/uploaded/attachment/48814.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H30,5月,https://www.pref.ehime.jp/uploaded/attachment/48813.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
H30,11月,https://www.pref.ehime.jp/uploaded/attachment/48812.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
R1,5月,https://www.pref.ehime.jp/uploaded/attachment/48811.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
R1,11月,https://www.pref.ehime.jp/uploaded/attachment/48810.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
R2,5月,https://www.pref.ehime.jp/uploaded/attachment/48809.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
R2,11月,https://www.pref.ehime.jp/uploaded/attachment/48808.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
R3,5月,https://www.pref.ehime.jp/uploaded/attachment/48807.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
R3,11月,https://www.pref.ehime.jp/uploaded/attachment/48806.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
R4,5月,https://www.pref.ehime.jp/uploaded/attachment/48805.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
R4,11月,https://www.pref.ehime.jp/uploaded/attachment/48804.pdf,official_page_link_confirmed,cashflow/fiscal-position/borrowing chronology
